LCIA category,Flow,Flow property,Flow unit,Location,Factor
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,00771485-9c9c-38e5-b4b3-07c18cc1a4bc,Mass,kg,,0.78
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,00b8c5b8-8f45-445f-839c-2017fe3ad8b8,Mass,kg,,0.57
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,0104c6dc-976f-3262-be85-c1ef1861e7b3,Mass,kg,,0.02
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,0124712f-c476-3b45-876b-82391c8e1131,Mass,kg,,0.4
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,025fcb20-0591-4bae-80fc-7c34e9af2e7b,Mass,kg,,0.22
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,02acaa38-8060-3589-82fb-7483dfe1df3c,Mass,kg,,0.33
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,0315d855-dff2-44af-bb37-1b855df53d69,Mass,kg,,3.08
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,03758df7-503a-400e-bc7b-ec05825761a5,Mass,kg,,0.18
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,04c4262a-133d-3fae-aecb-2735c1640af5,Mass,kg,,0.53
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,04e44140-9bcd-30c2-9d1e-0fbfc7d9d1e8,Mass,kg,,0.09
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,04ee2adb-77c1-3d63-a107-784bc8597912,Mass,kg,,1.89
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,05483104-8c1e-3a00-9a48-cc23051d3049,Mass,kg,,0.71
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,0568125e-34dc-3516-8195-18251c4d71cc,Mass,kg,,1.38
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,059e6a26-7035-4621-a360-c71c5778eec8,Mass,kg,,0.49
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,0684f05d-224e-36c1-92aa-0d916f0967ea,Mass,kg,,0.78
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,06911561-7da9-487c-adda-85e268d672af,Mass,kg,,0.42
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,0758fd39-21c0-3f92-bcbc-2f7ff3fc3a25,Mass,kg,,0.91
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,07616073-096a-39a2-b448-b9be1ff90a9d,Mass,kg,,0.6
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,07907ba6-6e57-3343-bbbc-7bf7ca2ebdee,Mass,kg,,0.57
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,07fa0439-98f1-3cc9-ab64-3fbec1b7c58f,Mass,kg,,2.3
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,085f15cc-80cf-4793-a81e-24085f5ce47e,Mass,kg,,0.07
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,086f6b04-002c-49a0-9be8-2bad29a9c17a,Mass,kg,,0.89
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,08a91e70-3ddc-11dd-9252-0050c2490048,Mass,kg,,0.016
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,08a91e70-3ddc-11dd-9734-0050c2490048,Mass,kg,,0.17
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,08a91e70-3ddc-11dd-994b-0050c2490048,Mass,kg,,0.33
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,09adf1e6-9c65-4d35-80ae-b22bc6d23660,Mass,kg,,1.42
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,09c332a9-1186-36ac-aa4e-3da3e002f29d,Mass,kg,,0.24
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,09ded9c4-d248-46a4-82a4-db1d7224ce6e,Mass,kg,,1.12
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,09e231fa-b1c2-4d63-9c57-7ea0e2210858,Mass,kg,,0.01
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,0aa4a379-3db3-4aad-950c-1bc4a58c6519,Mass,kg,,2.61
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,0adc885d-2373-3816-bf68-f4705a0cfc89,Mass,kg,,0.35
ca6152cb-a28a-3046-b858-dbdf67c7cb8d,0b0d8098-ecbf-4020-afd6-4bcf9db686ce,Mass,kg,,1.26
