LCIA category,Flow,Flow property,Flow unit,Location,Factor
d2d8488b-475f-3d15-88dc-b2b1c286b584,051aaf7a-6c1a-4e86-999f-85d5f0830df6,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,1eb1b94c-e9d8-47ab-969b-9cca920157d8,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,21e46cb8-6233-4c99-bac3-c41d2ab99498,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,230d8a0a-517c-43fe-8357-1818dd12997a,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,295c9740-6fdb-4676-9eb8-15e3786f713d,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,5716c728-bd33-414d-8691-16e5534f5d37,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,604f9273-f26b-46be-83a7-3a65280011d1,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,66020d27-7ae4-4e59-83a3-89214b72c40a,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,66f50b33-fd62-4fdd-a373-c5b0de7de00d,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,7678cec7-b8e1-439d-8242-99cd452834b1,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,b001715e-60e4-4f1d-949d-1acfab65bd8f,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,b967e1bf-f09b-4c89-8740-ace21db47bba,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,ccb169c3-8aae-4727-89bb-a7dd122946f3,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,ddd99a3a-be86-423d-b36a-a9dc8af1b1f8,Mass,kg,,1.0
d2d8488b-475f-3d15-88dc-b2b1c286b584,e22e8f39-d8f2-4702-bed3-0b95babb7788,Mass,kg,,1.0
