LCIA category,Flow,Flow property,Flow unit,Location,Factor
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,134ec0d7-3701-473c-a1a1-1982fd48ef4d,Radioactivity,kBq,,1.0
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,1d75a540-c7f2-4cae-8b02-0f0d41c0cef7,Radioactivity,kBq,,1.0
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,3d4ce09c-f818-4710-9c0f-9734b15d7f7b,Radioactivity,kBq,,1.0
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,4075139e-3311-401a-b98c-e83f203063da,Radioactivity,kBq,,1.0
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,58fabee9-b4b6-48ee-857a-e16ed31bb354,Radioactivity,kBq,,1.0
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,7a874970-77f5-49be-bf00-1647f35d717a,Radioactivity,kBq,,1.0
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,848a6c6a-76b7-42ad-90ce-ad2494fd5bd3,Radioactivity,kBq,,1.0
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,902b7ebc-68a8-4dd3-b67a-6087db8c0971,Radioactivity,kBq,,1.0
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,9be02ae0-3170-4544-8665-f03a1b43f2bd,Radioactivity,kBq,,1.0
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,ae65979b-a513-424c-b381-09c421b79a8d,Radioactivity,kBq,,1.0
d5a92468-c5f0-3d66-9a90-3eb5597e53c5,dddafc30-7a1e-4ab1-ad0d-0a1df4f82af7,Radioactivity,kBq,,1.0
