LCIA category,Flow,Flow property,Flow unit,Location,Factor
d628ba11-32ba-3d61-8b4a-4f0d12388960,00012c0a-9bff-4787-a7eb-56c3d2f43692,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,00062e88-f6d1-478d-aa3a-3f35c8c00127,Mass,kg,,0.137612518
d628ba11-32ba-3d61-8b4a-4f0d12388960,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,0017457a-c9ad-43a5-80da-5228b3939750,Mass,kg,,1.003535438
d628ba11-32ba-3d61-8b4a-4f0d12388960,0017ce28-9f7a-404b-ad55-d3f43ad13cae,Mass,kg,,3.543488581
d628ba11-32ba-3d61-8b4a-4f0d12388960,001d5a8c-19a5-3bfc-bb6c-4ba2db4bda2c,Mass,kg,,0.108807589
d628ba11-32ba-3d61-8b4a-4f0d12388960,0027ca6f-375a-415d-a712-853ece69e0a8,Mass,kg,,0.024089018
d628ba11-32ba-3d61-8b4a-4f0d12388960,0038c8df-9f90-34bb-9969-0f2640a2998b,Mass,kg,,3118.081449
d628ba11-32ba-3d61-8b4a-4f0d12388960,006aebb1-5682-43d8-ae3c-d81b9b8f169c,Mass,kg,,0.077514612
d628ba11-32ba-3d61-8b4a-4f0d12388960,006fd3df-f15a-3ec4-ad0e-2a6b466a3c21,Mass,kg,,31.75945556
d628ba11-32ba-3d61-8b4a-4f0d12388960,00732717-35c6-3d60-8aff-4aebc3819eb2,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,007a9c38-0de9-49b2-909f-f42903798cea,Mass,kg,,0.865810303
d628ba11-32ba-3d61-8b4a-4f0d12388960,007d4ecd-0831-4984-b5e2-814d129c932b,Mass,kg,,10319.69229
d628ba11-32ba-3d61-8b4a-4f0d12388960,007de693-1d9e-40a5-a8b4-3d11bce8be9a,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,00839209-0af1-4662-963b-8172359ce441,Mass,kg,,0.127316445
d628ba11-32ba-3d61-8b4a-4f0d12388960,0084f973-7133-4d7a-9009-fa46c1f7460c,Mass,kg,,794.7459562
d628ba11-32ba-3d61-8b4a-4f0d12388960,008e978b-34f4-48af-a19f-87106447394d,Mass,kg,,11.12404446
d628ba11-32ba-3d61-8b4a-4f0d12388960,00946913-24e1-4db7-ab0f-940016ce2343,Mass,kg,,4.128292302
d628ba11-32ba-3d61-8b4a-4f0d12388960,0094dac0-553d-3d07-afed-ad395b041e9a,Mass,kg,,1880.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,009ccb2d-86d7-417c-8db1-2f4582895b3a,Mass,kg,,0.249946783
d628ba11-32ba-3d61-8b4a-4f0d12388960,00a6e6a5-950b-440f-bfb5-632da234aa42,Mass,kg,,16.27432716
d628ba11-32ba-3d61-8b4a-4f0d12388960,00b55d37-8eb5-4a65-9309-cd897f67084a,Mass,kg,,404.6073078
d628ba11-32ba-3d61-8b4a-4f0d12388960,00d46874-7024-4302-adef-20cfeec24169,Mass,kg,,2.018343258
d628ba11-32ba-3d61-8b4a-4f0d12388960,0102958d-e9b8-30b2-b1b6-3b10ddba458f,Mass,kg,,1.13E-4
d628ba11-32ba-3d61-8b4a-4f0d12388960,01056d4b-f9b0-4dfc-b8d9-8407c8376efb,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,0111102e-fe4a-33d2-82f8-b892862783e1,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,012542b2-05ad-4e27-b659-8db896f3ff3e,Mass,kg,,0.014522651
d628ba11-32ba-3d61-8b4a-4f0d12388960,0125d40c-b7e8-4f98-a5ac-09115efeb568,Mass,kg,,0.044497087
d628ba11-32ba-3d61-8b4a-4f0d12388960,01285299-c683-4e15-b654-201987a7a738,Mass,kg,,3.333554478
d628ba11-32ba-3d61-8b4a-4f0d12388960,01369420-9580-49de-9520-ead943a89420,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,013726e0-f36f-4513-a8ba-a5bf020a0935,Mass,kg,,2.21E-5
d628ba11-32ba-3d61-8b4a-4f0d12388960,013c4c89-5a45-38a0-85c9-fba9116cb60f,Mass,kg,,0.00185634
d628ba11-32ba-3d61-8b4a-4f0d12388960,014a8297-acb4-3aa9-bb1d-54ccdf75cb15,Mass,kg,,6.25E-4
d628ba11-32ba-3d61-8b4a-4f0d12388960,015325ea-d20f-4aa8-bb2a-81fbbe8dc8e2,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,01558950-c47c-34f9-b4f2-39ca1c809384,Mass,kg,,6.754581603
d628ba11-32ba-3d61-8b4a-4f0d12388960,017d3304-a3c7-43ba-ad91-14e1bbf2ff6e,Mass,kg,,7.063345208
d628ba11-32ba-3d61-8b4a-4f0d12388960,01903e6e-fa22-4885-a759-153ccd59e4c0,Mass,kg,,0.073564333
d628ba11-32ba-3d61-8b4a-4f0d12388960,01a0ee45-df98-4286-a8ee-fe5660c3177a,Mass,kg,,0.418692526
d628ba11-32ba-3d61-8b4a-4f0d12388960,01a370e8-d1e4-3ba0-8640-5efd0657203f,Mass,kg,,2.16E-5
d628ba11-32ba-3d61-8b4a-4f0d12388960,01acba00-571b-46a0-aff0-aeaabaac04f3,Mass,kg,,0.136066353
d628ba11-32ba-3d61-8b4a-4f0d12388960,01b32afc-7538-38b7-836a-9e8bc7112c6d,Mass,kg,,1.429765192
d628ba11-32ba-3d61-8b4a-4f0d12388960,01b798f0-b8bb-41eb-9e5b-fb6bb096ebeb,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,01b8d78f-1335-33c6-ace4-290ee138b575,Mass,kg,,1.014892941
d628ba11-32ba-3d61-8b4a-4f0d12388960,01c30233-7cb3-43cb-85aa-7e7b4365a91c,Mass,kg,,0.259426103
d628ba11-32ba-3d61-8b4a-4f0d12388960,01c5cc72-704a-4639-8ff5-393274e93cca,Mass,kg,,0.018195039
d628ba11-32ba-3d61-8b4a-4f0d12388960,01d1039e-c661-4441-9663-76385df59449,Mass,kg,,0.539928323
d628ba11-32ba-3d61-8b4a-4f0d12388960,01d3db13-7970-4d67-acb9-a89d69523403,Mass,kg,,2.333817784
d628ba11-32ba-3d61-8b4a-4f0d12388960,01deea2b-97ee-4a43-8d14-eb317619adcd,Mass,kg,,1.187555838
d628ba11-32ba-3d61-8b4a-4f0d12388960,01e09d28-52d4-4fb4-a61b-cad1457fb251,Mass,kg,,0.012150951
d628ba11-32ba-3d61-8b4a-4f0d12388960,01ec3757-9027-3f4e-9df9-b060a762944b,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,02156abf-3839-5778-897a-4c06444701d4,Mass,kg,,3.667474385
d628ba11-32ba-3d61-8b4a-4f0d12388960,022d707c-39e6-469f-94a7-f62997db7bee,Mass,kg,,0.585754219
d628ba11-32ba-3d61-8b4a-4f0d12388960,02381700-f27e-4ffa-b58f-e7309ad7f9e7,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,0239a4f9-911f-433f-b71d-32c3f2c7ed77,Mass,kg,,0.475726988
d628ba11-32ba-3d61-8b4a-4f0d12388960,023e17b1-8fee-47e0-86e0-a3b7e22a1458,Mass,kg,,9604.708496
d628ba11-32ba-3d61-8b4a-4f0d12388960,0242268d-919f-4dba-80f8-7c16288f3fbd,Mass,kg,,7.27E-4
d628ba11-32ba-3d61-8b4a-4f0d12388960,024b1a73-0cff-4b49-9e1e-7d75110f1e31,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,0264738d-175c-4a9f-bc9b-1970eba444de,Mass,kg,,4.51061443
d628ba11-32ba-3d61-8b4a-4f0d12388960,0264bcf0-0c95-410e-a4da-298190cb9874,Mass,kg,,13.57045119
d628ba11-32ba-3d61-8b4a-4f0d12388960,026e7d5f-348a-3618-b3f5-caca484eddd0,Mass,kg,,0.181108937
d628ba11-32ba-3d61-8b4a-4f0d12388960,027b2f28-8081-41da-9ba1-6ddafaf4cdbd,Mass,kg,,0.004771775
d628ba11-32ba-3d61-8b4a-4f0d12388960,02815ee6-1d99-4207-bb92-80a346c2f812,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,028288f5-4e88-4c0b-928d-7cbdd8b9b305,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,0283b601-fab3-3425-b16a-af5b1af3c382,Mass,kg,,0.051147166
d628ba11-32ba-3d61-8b4a-4f0d12388960,0285636d-4468-48c0-a377-71ece75ffcc4,Mass,kg,,2.703405706
d628ba11-32ba-3d61-8b4a-4f0d12388960,029af65d-7b19-4189-9c92-81fc03909665,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,029d3654-a407-39ed-8321-b3a5e02e068b,Mass,kg,,0.03694782
d628ba11-32ba-3d61-8b4a-4f0d12388960,02a10b82-b1b6-3958-80b8-57bcaf1b1654,Mass,kg,,0.128055343
d628ba11-32ba-3d61-8b4a-4f0d12388960,02c1ff3f-e0ce-4f0d-8f21-5fae57bb2d24,Mass,kg,,0.211728043
d628ba11-32ba-3d61-8b4a-4f0d12388960,02de2c47-dd05-46e9-81a4-313397c5b784,Mass,kg,,0.137577958
d628ba11-32ba-3d61-8b4a-4f0d12388960,02eb30a8-ed7c-456b-a1fe-2cdffea4fb8d,Mass,kg,,3.272815578
d628ba11-32ba-3d61-8b4a-4f0d12388960,02ebe7cb-645b-3264-a540-d6d79856cc0b,Mass,kg,,0.002180819
d628ba11-32ba-3d61-8b4a-4f0d12388960,02fee1a2-0288-41e3-9c9f-99a3d9876d9c,Mass,kg,,0.0
d628ba11-32ba-3d61-8b4a-4f0d12388960,0315d855-dff2-44af-bb37-1b855df53d69,Mass,kg,,0.017800761
d628ba11-32ba-3d61-8b4a-4f0d12388960,031b79c4-b1a9-4b47-8ec3-b7d76030af87,Mass,kg,,0.018507164
d628ba11-32ba-3d61-8b4a-4f0d12388960,031bde4a-3b08-452b-928a-0dc37ac07263,Mass,kg,,0.438808564
d628ba11-32ba-3d61-8b4a-4f0d12388960,032b5395-a44f-4725-af79-f2f29881882a,Mass,kg,,5.425187002
d628ba11-32ba-3d61-8b4a-4f0d12388960,0330e73b-c9ba-4440-b153-284c6a9210d0,Mass,kg,,0.014165443
d628ba11-32ba-3d61-8b4a-4f0d12388960,03560ca8-cb0c-4d97-b9ea-957360fbbd03,Mass,kg,,17.30182989
d628ba11-32ba-3d61-8b4a-4f0d12388960,0357b92a-fc54-42b9-aa7f-621e96c56d19,Mass,kg,,0.149580555
d628ba11-32ba-3d61-8b4a-4f0d12388960,036771b6-6457-422b-8870-82065e7c1fe5,Mass,kg,,52.35587896
d628ba11-32ba-3d61-8b4a-4f0d12388960,0371cc30-26c5-34b6-99a8-45bb8395b248,Mass,kg,,0.016564211
