LCIA category,Flow,Flow property,Flow unit,Location,Factor
d910414f-6990-3967-bce6-02228c105135,1551f1cd-7cb7-4f68-a628-cb9301323c7b,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,18bcb736-db8a-445c-ba28-ca648838a1a0,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,1c02cff4-e852-489b-893c-d3ed30eb8ca5,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,2eb231c3-447f-42e3-bcb6-fdcbdb8ee915,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,3d73d6c8-145c-48c5-aabe-17b4279c66e0,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,4ac6979b-55f2-42ae-8d7e-37846e92506c,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,6fd55524-c309-4eb8-bff6-9c606e3a82d7,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,793f8194-88c0-4315-b59e-58de48ba6ce4,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,7a2d5b3a-aac7-4a82-a990-0f4e1501db0b,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,878a36ab-9fb6-4d14-a1a7-163b24777eeb,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,98bd0642-19d0-4c76-930e-03136c21cc20,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,b613b3b0-a98d-4b7a-a908-999ccfe1452d,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,b912f4b4-34ac-4ec1-aba1-01b9c83683e5,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,cb3265f8-49a0-4b09-9bd9-c374370c4cc4,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,d1679eda-eac2-4be4-876f-3be480c53dc4,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,d5ca33b3-f101-4371-b684-c720463ae2ab,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,deafd761-4499-40e3-8667-06c91f204f6f,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,dfcd04d5-e7d9-4965-b62a-f272f40831f1,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,e70d3563-78c4-42cf-8cf3-5ac42c499589,Radioactivity,kBq,,1.0
d910414f-6990-3967-bce6-02228c105135,e9041c16-9cae-4fc0-ac93-f9a486ef53db,Radioactivity,kBq,,1.0
