LCIA category,Flow,Flow property,Flow unit,Location,Factor
d9ff50c2-00ab-3901-8970-569f9b7c8041,0000f1e6-dd12-3951-bc45-e4f2135426b5,Mass,kg,,0.117
d9ff50c2-00ab-3901-8970-569f9b7c8041,00012c0a-9bff-4787-a7eb-56c3d2f43692,Mass,kg,,12.2
d9ff50c2-00ab-3901-8970-569f9b7c8041,00014e78-9ad7-3610-be31-e7dc3c1250d1,Mass,kg,,0.0175
d9ff50c2-00ab-3901-8970-569f9b7c8041,00062e88-f6d1-478d-aa3a-3f35c8c00127,Mass,kg,,7.25
d9ff50c2-00ab-3901-8970-569f9b7c8041,000a1925-f834-34f2-9380-2345b23f2f17,Mass,kg,,0.00363
d9ff50c2-00ab-3901-8970-569f9b7c8041,000bf7ea-56a1-4d33-b453-2281f5810afe,Mass,kg,,0.138
d9ff50c2-00ab-3901-8970-569f9b7c8041,00140226-a94b-3a7e-87d6-7f838ac9528a,Mass,kg,,0.169
d9ff50c2-00ab-3901-8970-569f9b7c8041,0014f81f-33f3-3bfa-9711-90a2c6360900,Mass,kg,,44.3
d9ff50c2-00ab-3901-8970-569f9b7c8041,0014f91b-593e-32db-96ba-b8013869aa6a,Mass,kg,,1.02
d9ff50c2-00ab-3901-8970-569f9b7c8041,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,0.12
d9ff50c2-00ab-3901-8970-569f9b7c8041,001614b7-5973-33cd-97b1-7dfdb240ff46,Mass,kg,,0.489
d9ff50c2-00ab-3901-8970-569f9b7c8041,0017457a-c9ad-43a5-80da-5228b3939750,Mass,kg,,0.984
d9ff50c2-00ab-3901-8970-569f9b7c8041,00179ea6-bc33-468f-a119-041e92f1c1a6,Mass,kg,,0.395
d9ff50c2-00ab-3901-8970-569f9b7c8041,001aa5b1-9df4-4c2f-a579-8f49989fe2c0,Mass,kg,,0.0404
