LCIA category,Flow,Flow property,Flow unit,Location,Factor
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,0c143a06-6761-3c47-8006-ffcad7b58a10,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,2.45
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,1275ddeb-f87b-3f52-94a4-1eb8e2ac6c06,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,16521d00-4b6f-464f-b5dd-8da4a27b15ca,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,2b50f643-216a-412b-a0e5-5946867aa2ed,Mass,kg,,2.45
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,4490af97-53d7-4849-aa85-34b5a50e516b,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,4841a0fe-c250-4a39-94a1-1bc31426c0f1,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,65634b3e-5481-4e61-b4fa-b67cb7c4ffc3,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,65e1e004-ceed-4b40-ab2b-5f34b07fdb99,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,675d7403-504b-422c-aa11-7dc8e79e4486,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,6ce44f77-d181-4396-8fa2-2276eeeb4c08,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,77357947-ccc5-438e-9996-95e65e1e1bce,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,78c3efe4-421c-4d30-82e4-b97ac5124993,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,8494ed3c-0416-4aa5-b100-51a2b2bcadbd,Mass,kg,,2.45
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,Mass,kg,,2.45
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,8c356c12-29dd-3a6d-9f9d-d3ebd106db5b,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,8c52f40c-69b7-4538-8923-b371523c71f5,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,9115356e-a534-4329-9ec6-d9208720241b,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,9990b51b-7023-4700-bca0-1a32ef921f74,Mass,kg,,2.45
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,9fb048e8-b1c4-4b1a-b536-5467d511f75a,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,b1124d65-6c5a-4530-a5e5-0c9726eb524c,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,b285ccbd-7703-39d9-9f66-20451f18d99f,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,ba5fc0b6-770b-4da1-9b3f-e3b5087f07cd,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,c1b91234-6f24-417b-8309-46111d09c457,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,d068f3e2-b033-417b-a359-ca4f25da9731,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,d9945575-a965-4bf3-9cd7-584263172abd,Mass,kg,,0.56
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,e0994a6e-9a9f-4a17-9f02-d85937d01028,Mass,kg,,1.0
dc1a8101-a0f0-3f4f-9b1a-388edda0c826,fd7aa71c-508c-480d-81a6-8052aad92646,Mass,kg,,1.0
