LCIA category,Flow,Flow property,Flow unit,Location,Factor
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,0.007222222
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,051aaf7a-6c1a-4e86-999f-85d5f0830df6,Mass,kg,,1.0
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,08a91e70-3ddc-11dd-9252-0050c2490048,Mass,kg,,3.56E-4
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,099b36ab-4c03-4587-87f4-2f81e337afb8,Mass,kg,,3.56E-4
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,0.007222222
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,0.066666667
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,16521d00-4b6f-464f-b5dd-8da4a27b15ca,Mass,kg,,0.061111111
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,21e46cb8-6233-4c99-bac3-c41d2ab99498,Mass,kg,,1.0
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,230d8a0a-517c-43fe-8357-1818dd12997a,Mass,kg,,1.0
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,295c9740-6fdb-4676-9eb8-15e3786f713d,Mass,kg,,0.227777778
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,2b50f643-216a-412b-a0e5-5946867aa2ed,Mass,kg,,0.066666667
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,2cb2333c-1599-46cf-8435-3dffce627524,Mass,kg,,3.56E-4
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,4490af97-53d7-4849-aa85-34b5a50e516b,Mass,kg,,0.007222222
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,4841a0fe-c250-4a39-94a1-1bc31426c0f1,Mass,kg,,0.007222222
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,49c594c6-b6a8-42a3-95c5-cca812fda80b,Mass,kg,,3.56E-4
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,550eaab3-16d8-3b28-a1a1-5aa018fd394c,Mass,kg,,3.56E-4
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,5716c728-bd33-414d-8691-16e5534f5d37,Mass,kg,,0.227777778
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,588356df-f3b4-43a7-a76e-c47175a7eae0,Mass,kg,,3.56E-4
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,604f9273-f26b-46be-83a7-3a65280011d1,Mass,kg,,0.227777778
e0916d62-7fbd-3d0a-a4a5-52659b0ac9c1,620bc2f6-cf71-4dde-bba9-c6e8fdec5e23,Mass,kg,,3.56E-4
