LCIA category,Flow,Flow property,Flow unit,Location,Factor
e3a86bfa-e71e-389e-991b-b3289cc7c21d,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,39.98
e3a86bfa-e71e-389e-991b-b3289cc7c21d,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,2.928
e3a86bfa-e71e-389e-991b-b3289cc7c21d,003dd4a0-2f64-3bfa-bd49-af5418dfbd46,Mass,kg,,0.01207
e3a86bfa-e71e-389e-991b-b3289cc7c21d,00470530-4d8b-41b1-a27b-0f3fd6283650,Mass,kg,,8564.0
e3a86bfa-e71e-389e-991b-b3289cc7c21d,0061bdfe-e7a2-3a33-b56b-42381d4b0495,Mass,kg,,0.009654
e3a86bfa-e71e-389e-991b-b3289cc7c21d,009a49e8-09a7-4432-9cb9-f2dd18e8f922,Mass,kg,,530.0
e3a86bfa-e71e-389e-991b-b3289cc7c21d,009ccb2d-86d7-417c-8db1-2f4582895b3a,Mass,kg,,93.97
e3a86bfa-e71e-389e-991b-b3289cc7c21d,00d46874-7024-4302-adef-20cfeec24169,Mass,kg,,590.1
e3a86bfa-e71e-389e-991b-b3289cc7c21d,0125d40c-b7e8-4f98-a5ac-09115efeb568,Mass,kg,,714.2
e3a86bfa-e71e-389e-991b-b3289cc7c21d,014bd81b-88c7-4a81-b872-201dcbfb8bbf,Mass,kg,,0.687
e3a86bfa-e71e-389e-991b-b3289cc7c21d,015859c9-3e5e-38da-99cc-c9b5e4c38775,Mass,kg,,117.4
e3a86bfa-e71e-389e-991b-b3289cc7c21d,01b4f18e-6ffe-3ee8-9084-9deb074dbb99,Mass,kg,,6663.0
e3a86bfa-e71e-389e-991b-b3289cc7c21d,01c30233-7cb3-43cb-85aa-7e7b4365a91c,Mass,kg,,244.0
e3a86bfa-e71e-389e-991b-b3289cc7c21d,01c5cc72-704a-4639-8ff5-393274e93cca,Mass,kg,,0.01907
e3a86bfa-e71e-389e-991b-b3289cc7c21d,02381700-f27e-4ffa-b58f-e7309ad7f9e7,Mass,kg,,0.9715
e3a86bfa-e71e-389e-991b-b3289cc7c21d,026556c4-a551-34ba-a474-e6c4d957e2f6,Mass,kg,,3.427
e3a86bfa-e71e-389e-991b-b3289cc7c21d,02acaa38-8060-3589-82fb-7483dfe1df3c,Mass,kg,,13.31
e3a86bfa-e71e-389e-991b-b3289cc7c21d,02b13ec3-7cbd-3379-9ce4-c59fc40ce29b,Mass,kg,,23.95
e3a86bfa-e71e-389e-991b-b3289cc7c21d,03758df7-503a-400e-bc7b-ec05825761a5,Mass,kg,,75.17
e3a86bfa-e71e-389e-991b-b3289cc7c21d,045f7de9-60d5-4916-a504-5a1002a6e97e,Mass,kg,,0.06729
e3a86bfa-e71e-389e-991b-b3289cc7c21d,04b94d2a-ffcc-3e41-8f44-eb81f29b0abe,Mass,kg,,316.9
e3a86bfa-e71e-389e-991b-b3289cc7c21d,04caf523-fec8-45cf-87b4-5bd29db2e942,Mass,kg,,191.7
e3a86bfa-e71e-389e-991b-b3289cc7c21d,04f1bbea-9402-3cf9-a696-81a90e498da4,Mass,kg,,2.928
e3a86bfa-e71e-389e-991b-b3289cc7c21d,0545c382-2312-43b6-9ec3-63dbb1438565,Mass,kg,,117.5
e3a86bfa-e71e-389e-991b-b3289cc7c21d,056fb035-70db-4dba-bff0-773a3da55b87,Mass,kg,,1406.0
e3a86bfa-e71e-389e-991b-b3289cc7c21d,05b66055-bacb-3a0d-bc1b-5876e216e8c9,Mass,kg,,700.6
e3a86bfa-e71e-389e-991b-b3289cc7c21d,06503be7-cbd8-40f1-bca0-4d96e29390cd,Mass,kg,,3.494
e3a86bfa-e71e-389e-991b-b3289cc7c21d,06bb99e1-2d2c-4bd2-a42c-b3006417cdaf,Mass,kg,,8.898
e3a86bfa-e71e-389e-991b-b3289cc7c21d,07395511-ea90-4395-ae79-a39d1a7baa95,Mass,kg,,590.1
e3a86bfa-e71e-389e-991b-b3289cc7c21d,0804aaac-385e-4b94-bb55-18086dabe9fe,Mass,kg,,216.1
e3a86bfa-e71e-389e-991b-b3289cc7c21d,082903e4-45d8-4078-94cb-736b15279277,Mass,kg,,1.44E7
e3a86bfa-e71e-389e-991b-b3289cc7c21d,08351d0e-94b3-3bc8-a9a6-9afcd5e10999,Mass,kg,,714.2
e3a86bfa-e71e-389e-991b-b3289cc7c21d,085f15cc-80cf-4793-a81e-24085f5ce47e,Mass,kg,,590.1
e3a86bfa-e71e-389e-991b-b3289cc7c21d,08a91e70-3ddc-11dd-9f79-0050c2490048,Mass,kg,,1406.0
e3a86bfa-e71e-389e-991b-b3289cc7c21d,08a91e70-3ddc-11dd-9f7b-0050c2490048,Mass,kg,,1125.0
