LCIA category,Flow,Flow property,Flow unit,Location,Factor
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,0006da9c-c368-3274-a569-01c8154d8949,Mass,kg,,1.0
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,0027f20b-d26b-3750-8a45-33abdc4eff74,Mass,kg,,1.0
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,1.0
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,00391d97-649c-365b-9c03-b2d87bb700d2,Mass,kg,,0.0811
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,0097e612-33ab-3730-9b1c-d2d96d3b5e1f,Mass,kg,,0.0811
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,0102958d-e9b8-30b2-b1b6-3b10ddba458f,Mass,kg,,0.505
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,018069ac-b200-33d2-bfe9-bd4b80bd1dde,Mass,kg,,0.0811
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,025fcb20-0591-4bae-80fc-7c34e9af2e7b,Mass,kg,,0.834
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,02d80cde-1bc2-3179-92a9-605ca154f04d,Mass,kg,,0.0811
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,03068434-9899-3802-9491-699a70f35a84,Mass,kg,,1.0
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,0315d855-dff2-44af-bb37-1b855df53d69,Mass,kg,,1.44
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,03441d63-864f-3822-b16b-ce7cd13903c7,Mass,kg,,0.0811
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,03e5fc34-eb6f-352c-b5d8-b49d7711b168,Mass,kg,,0.0811
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,0482fd78-74ae-3b8c-81e4-7c11c7298192,Mass,kg,,1.0
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,04834996-6f9c-3fa9-888d-e0adc05d8fb1,Mass,kg,,0.0811
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,0548214c-8814-37f8-b7ab-a582637b783b,Mass,kg,,0.0811
e4c0092c-5ab4-3dc7-a219-527907e8a1ea,0585f4ea-e3e6-3044-a14f-a6df3fc448c4,Mass,kg,,0.0811
