LCIA category,Flow,Flow property,Flow unit,Location,Factor
e8a3e30f-1253-3ed0-a13c-6c95e18385af,258263a0-6be3-4439-bd84-efee0498b849,Mass,kg,,36.75
e8a3e30f-1253-3ed0-a13c-6c95e18385af,28e1e2d6-97ad-4dfd-932a-9edad36dcab9,Mass,kg,,1.0
e8a3e30f-1253-3ed0-a13c-6c95e18385af,2cb2333c-1599-46cf-8435-3dffce627524,Mass,kg,,1.57
e8a3e30f-1253-3ed0-a13c-6c95e18385af,419de9f0-ee00-4e95-9556-c8f06b17beec,Mass,kg,,-1.0
e8a3e30f-1253-3ed0-a13c-6c95e18385af,4e1f0bb0-2703-4303-bf86-972d810612cf,Mass,kg,,1.0
e8a3e30f-1253-3ed0-a13c-6c95e18385af,550eaab3-16d8-3b28-a1a1-5aa018fd394c,Mass,kg,,1.57
e8a3e30f-1253-3ed0-a13c-6c95e18385af,57bdb443-d4a6-423d-8024-959b8261d02e,Mass,kg,,36.75
e8a3e30f-1253-3ed0-a13c-6c95e18385af,588356df-f3b4-43a7-a76e-c47175a7eae0,Mass,kg,,1.57
e8a3e30f-1253-3ed0-a13c-6c95e18385af,6c977009-5c4e-4901-a4c1-ab20389cb972,Mass,kg,,36.75
e8a3e30f-1253-3ed0-a13c-6c95e18385af,73ed05cc-9727-4abf-9516-4b5c0fe54a16,Mass,kg,,1.0
e8a3e30f-1253-3ed0-a13c-6c95e18385af,7b44cf6c-867f-34a0-b632-024664899e21,Mass,kg,,36.75
e8a3e30f-1253-3ed0-a13c-6c95e18385af,8ffbf5bb-f236-49ec-bb37-55b3561798ea,Mass,kg,,-1.0
e8a3e30f-1253-3ed0-a13c-6c95e18385af,968495ec-1000-438a-9e11-467776ebb54e,Mass,kg,,1.57
e8a3e30f-1253-3ed0-a13c-6c95e18385af,9afa0173-ecbd-4f2c-9c5c-b3128a032812,Mass,kg,,1.57
e8a3e30f-1253-3ed0-a13c-6c95e18385af,b58c0d57-fecb-3079-aaf3-49e239bca4cb,Mass,kg,,1.57
e8a3e30f-1253-3ed0-a13c-6c95e18385af,b821ad93-ba6a-4d74-b6ae-ca12cd9563d7,Mass,kg,,1.57
e8a3e30f-1253-3ed0-a13c-6c95e18385af,b821ad93-ba6a-4d74-b6ae-ca12cd9563d7,Mass,kg,,1.57
e8a3e30f-1253-3ed0-a13c-6c95e18385af,baf58fc9-573c-419c-8c16-831ac03203b9,Mass,kg,,36.75
e8a3e30f-1253-3ed0-a13c-6c95e18385af,cc6a1abb-b123-4ca6-8f16-38209df609be,Mass,kg,,-1.0
e8a3e30f-1253-3ed0-a13c-6c95e18385af,d6235194-e4e6-4548-bfa3-ac095131aef4,Mass,kg,,1.0
e8a3e30f-1253-3ed0-a13c-6c95e18385af,d6703e06-c8e7-3783-8a84-95a1560f8e9c,Mass,kg,,1.57
e8a3e30f-1253-3ed0-a13c-6c95e18385af,da1157e2-7593-4dfd-80dd-a3449b37a4d8,Mass,kg,,36.75
e8a3e30f-1253-3ed0-a13c-6c95e18385af,eba59fd6-f37e-41dc-9ca3-c7ea22d602c7,Mass,kg,,1.0
