LCIA category,Flow,Flow property,Flow unit,Location,Factor
eb072b11-7c98-3470-a835-b428f1797461,003dd4a0-2f64-3bfa-bd49-af5418dfbd46,Mass,kg,,8.56E-10
eb072b11-7c98-3470-a835-b428f1797461,0061bdfe-e7a2-3a33-b56b-42381d4b0495,Mass,kg,,2.26E-6
eb072b11-7c98-3470-a835-b428f1797461,0065425c-4137-3ac2-95e1-afff854fc840,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,008c75e6-3436-31dd-87de-92bc82e25751,Mass,kg,,1.33E-8
eb072b11-7c98-3470-a835-b428f1797461,00d2fef1-e4d4-4a16-8e81-b8cc514e4c25,Mass,kg,,6.63E-7
eb072b11-7c98-3470-a835-b428f1797461,0106f429-18c4-3f41-88e8-6a781fad61ac,Mass,kg,,2.5E-8
eb072b11-7c98-3470-a835-b428f1797461,01339e41-4c70-32ea-a32c-486d8071c59a,Mass,kg,,2.94E-7
eb072b11-7c98-3470-a835-b428f1797461,021b8f30-26ac-4012-880a-69bfd65bfed4,Mass,kg,,4.3054E-6
eb072b11-7c98-3470-a835-b428f1797461,024e919d-91ee-47c7-9f0b-ebe851cc61fb,Mass,kg,,2.37E-8
eb072b11-7c98-3470-a835-b428f1797461,027f560f-1f9d-3a6f-8a4f-b6b4c824bc0a,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,02a7b111-6538-4496-a7cc-e03ea5b649bf,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,02b52ed9-26d6-31c5-bef0-93d50e0b57b8,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,03cc2130-ed64-422f-82b3-fb3459bf9daa,Mass,kg,,1.16E-6
eb072b11-7c98-3470-a835-b428f1797461,0405367e-b450-3279-a323-74110bfb61e4,Mass,kg,,2.5E-8
eb072b11-7c98-3470-a835-b428f1797461,043dc201-0d83-3920-87b0-78acd25ac256,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,044bdafd-bbdb-3df3-b3ec-73678067085c,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,05e9cfc7-f614-3399-89d3-fd6998d1932b,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,05f6e226-0593-46f5-a788-01fa306e66ad,Mass,kg,,1.08E-6
eb072b11-7c98-3470-a835-b428f1797461,064ac501-cea3-42fc-918c-6b17c113a764,Mass,kg,,2.9E-11
eb072b11-7c98-3470-a835-b428f1797461,064f7311-9ba8-33ab-83ce-f26d6a38cd9e,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,068e90b0-787b-31d8-b0fa-33fd8e87faa9,Mass,kg,,0.0017185
eb072b11-7c98-3470-a835-b428f1797461,06dafed2-3fed-310c-9aa7-12f1c52d79eb,Mass,kg,,9.83E-9
eb072b11-7c98-3470-a835-b428f1797461,076d8847-f0f3-3186-b3f6-40d2b2e67dc2,Mass,kg,,5.6E-5
eb072b11-7c98-3470-a835-b428f1797461,07fdec49-60f4-3a75-9df9-fbf8989963aa,Mass,kg,,6.74E-14
eb072b11-7c98-3470-a835-b428f1797461,08a91e70-3ddc-11dd-954c-0050c2490048,Mass,kg,,1.55E-12
eb072b11-7c98-3470-a835-b428f1797461,08a91e70-3ddc-11dd-954d-0050c2490048,Mass,kg,,1.33E-8
eb072b11-7c98-3470-a835-b428f1797461,08f2f1a4-3aac-3c16-bd04-471a0c407aac,Mass,kg,,1.33E-8
eb072b11-7c98-3470-a835-b428f1797461,094310bb-49db-5b2d-ae1b-e7b4ffca1d03,Mass,kg,,6.99E-9
eb072b11-7c98-3470-a835-b428f1797461,097cecfb-bed2-43a0-81b7-c153d0bb14b9,Mass,kg,,5.98E-5
eb072b11-7c98-3470-a835-b428f1797461,099b36ab-4c03-4587-87f4-2f81e337afb8,Mass,kg,,1.076E-6
eb072b11-7c98-3470-a835-b428f1797461,09af14a9-46cc-388b-a8b5-41de7f387ed6,Mass,kg,,6.16E-10
eb072b11-7c98-3470-a835-b428f1797461,0a0536c8-020b-3d05-9cdc-4307464527f8,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,0a55354a-268a-48f5-abbf-4067b263e5fd,Mass,kg,,8.14E-8
eb072b11-7c98-3470-a835-b428f1797461,0af78f21-204e-432f-aab6-77bbaf9a8363,Mass,kg,,9.99E-5
eb072b11-7c98-3470-a835-b428f1797461,0b5fcb50-3d95-377a-9de4-4c26d9881b87,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,0ba8ae54-8942-4d62-b2a7-d0a57c77dac2,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,0bfc53d5-7203-305d-93d5-f690f0c7d1ec,Mass,kg,,2.94E-7
eb072b11-7c98-3470-a835-b428f1797461,0c2b21c0-a014-4fbe-9d39-881bf437c2f5,Mass,kg,,3.91E-7
eb072b11-7c98-3470-a835-b428f1797461,0c4e8b46-5fd1-31d4-8eef-b6885a28bc6a,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,0cdc47a9-974d-3e38-842c-a27fe39cddce,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,0cf7d177-0b4b-3858-81ea-ae54d53d6a7f,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,0d1d9119-44bf-4c8e-a878-cdc78fd888ae,Mass,kg,,2.0E-8
eb072b11-7c98-3470-a835-b428f1797461,0d8beeab-c239-3ddc-8a92-85933ce4dee1,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,0dad3964-8bd2-329a-a328-92162babd2e4,Mass,kg,,1.49E-10
eb072b11-7c98-3470-a835-b428f1797461,0ddfaa9d-07ef-32c7-81f6-0453f5c25fda,Mass,kg,,1.33E-8
eb072b11-7c98-3470-a835-b428f1797461,0e52946e-05ff-3372-bbf4-3691d4e680c2,Mass,kg,,2.21E-7
eb072b11-7c98-3470-a835-b428f1797461,0e6489b3-cfcf-4563-9064-67637fc455de,Mass,kg,,7.3443E-9
eb072b11-7c98-3470-a835-b428f1797461,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,0f6e6162-3b40-3d74-a79a-7caa0e24b60c,Mass,kg,,1.06E-6
eb072b11-7c98-3470-a835-b428f1797461,0f77bae0-57b0-38b5-b30a-78995e425e0d,Mass,kg,,2.5E-8
eb072b11-7c98-3470-a835-b428f1797461,0fad72e1-2382-3255-91cb-b2014c3553f3,Mass,kg,,4.51E-10
eb072b11-7c98-3470-a835-b428f1797461,0fc1f0ec-2f59-3404-b470-e171981a2dfd,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,1013b9ec-a7b5-459c-be3d-74f61b9ce06e,Mass,kg,,2.61E-6
eb072b11-7c98-3470-a835-b428f1797461,10350e4f-eb0d-448d-a9c8-94d0d92ff490,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,10620d9f-984d-328a-8936-cc66fdd770a5,Mass,kg,,7.2E-13
eb072b11-7c98-3470-a835-b428f1797461,10c565c3-54ee-36cf-9498-19864d9d3646,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,10cc545a-0f29-3207-b1ce-e20f006c7f1a,Mass,kg,,6.69E-7
eb072b11-7c98-3470-a835-b428f1797461,112ef8bf-d4b4-392d-90c3-a3b36521aac0,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,11e0e6aa-ad90-35fb-b738-df75b0b28f8e,Mass,kg,,5.18E-6
eb072b11-7c98-3470-a835-b428f1797461,121f6b2e-73a1-435e-b099-63fa5f6c3f59,Mass,kg,,7.0E-11
eb072b11-7c98-3470-a835-b428f1797461,12458d38-4c0d-3c82-b60c-eb41fcdc6d86,Mass,kg,,5.42E-8
eb072b11-7c98-3470-a835-b428f1797461,12670043-969e-3f79-bbd7-e164a7b8bc87,Mass,kg,,1.33E-8
eb072b11-7c98-3470-a835-b428f1797461,130cedc6-f6ed-4f1b-bd1e-881177f79e74,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,13331e67-6006-48c4-bdb4-340c12010036,Mass,kg,,3.93E-9
eb072b11-7c98-3470-a835-b428f1797461,13481793-b866-3ab5-89a7-95d597881329,Mass,kg,,2.73E-5
eb072b11-7c98-3470-a835-b428f1797461,136b3619-1de7-3102-bfb9-693cdb1657ad,Mass,kg,,2.5E-8
eb072b11-7c98-3470-a835-b428f1797461,13acd77c-2308-4280-837b-40f0158f9acc,Mass,kg,,7.75E-8
eb072b11-7c98-3470-a835-b428f1797461,13b03519-6394-349f-99f0-e6abde24cf4f,Mass,kg,,4.91E-5
eb072b11-7c98-3470-a835-b428f1797461,13c4a5fe-5b8d-36e2-a96e-b2300bfd8633,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,141996d0-f260-4ef3-ad9a-809c54690595,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,143e1c14-8bfa-4054-8f0a-363cc02ce682,Mass,kg,,9.61E-8
eb072b11-7c98-3470-a835-b428f1797461,1471acca-34ab-4e04-9bd6-e3825b20580f,Mass,kg,,1.73E-7
eb072b11-7c98-3470-a835-b428f1797461,14c75c9c-2188-3b2d-aca9-8dd6bcdb7329,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,1561ed6d-f66a-3863-bf56-9ea1d0bb6ca5,Mass,kg,,0.0
eb072b11-7c98-3470-a835-b428f1797461,1640d1f9-5d2a-3de8-b2f9-26859cc4b304,Mass,kg,,1.76E-7
eb072b11-7c98-3470-a835-b428f1797461,16595bdf-8ce9-459f-bb2a-48170f15643a,Mass,kg,,1.06E-6
eb072b11-7c98-3470-a835-b428f1797461,16a00d80-64d9-376e-9c8f-cd5a1a9728f8,Mass,kg,,7.91E-9
eb072b11-7c98-3470-a835-b428f1797461,16bb8a53-956b-3389-a643-9b6513920ed2,Mass,kg,,1.53E-9
eb072b11-7c98-3470-a835-b428f1797461,17a849c9-67c2-365a-a71a-89d37ac8a206,Mass,kg,,3.91E-8
eb072b11-7c98-3470-a835-b428f1797461,17c5b0f0-4510-30d1-84ea-c0487fa6673c,Mass,kg,,6.92E-7
eb072b11-7c98-3470-a835-b428f1797461,17e0beb3-a5e6-3ea6-af7f-1765ba3d3602,Mass,kg,,1.54E-9
