LCIA category,Flow,Flow property,Flow unit,Location,Factor
eb56e7b7-178d-3135-bb9b-170a706121be,003697f1-54e9-409e-8179-23a95e99e4d7,Mass,kg,,2.1E-7
eb56e7b7-178d-3135-bb9b-170a706121be,0245b0e3-f250-3fac-aea1-26a7d949926d,Mass,kg,,0.0
eb56e7b7-178d-3135-bb9b-170a706121be,051aaf7a-6c1a-4e86-999f-85d5f0830df6,Mass,kg,,2.38E-4
eb56e7b7-178d-3135-bb9b-170a706121be,08a91e70-3ddc-11dd-91be-0050c2490048,Mass,kg,,5.49E-5
eb56e7b7-178d-3135-bb9b-170a706121be,0b7e10a8-6ca0-4a50-a39b-f2a019cb3610,Mass,kg,,1.6E-6
eb56e7b7-178d-3135-bb9b-170a706121be,0c143a06-6761-3c47-8006-ffcad7b58a10,Mass,kg,,0.0
eb56e7b7-178d-3135-bb9b-170a706121be,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,2.1E-5
eb56e7b7-178d-3135-bb9b-170a706121be,13825fb9-6e24-409a-bfcd-5dc4fd61ef98,Mass,kg,,8.0E-6
eb56e7b7-178d-3135-bb9b-170a706121be,16521d00-4b6f-464f-b5dd-8da4a27b15ca,Mass,kg,,0.0
eb56e7b7-178d-3135-bb9b-170a706121be,17f7e776-7934-54af-8c3c-ed0247cb697b,Mass,kg,,1.6E-6
eb56e7b7-178d-3135-bb9b-170a706121be,20267798-78eb-3957-a510-19ebf3525a9e,Mass,kg,,0.0
eb56e7b7-178d-3135-bb9b-170a706121be,2071631d-7d90-4040-ac40-1829af0bd3c2,Mass,kg,,5.49E-5
eb56e7b7-178d-3135-bb9b-170a706121be,21e46cb8-6233-4c99-bac3-c41d2ab99498,Mass,kg,,2.38E-4
eb56e7b7-178d-3135-bb9b-170a706121be,230d8a0a-517c-43fe-8357-1818dd12997a,Mass,kg,,2.38E-4
eb56e7b7-178d-3135-bb9b-170a706121be,2b50f643-216a-412b-a0e5-5946867aa2ed,Mass,kg,,2.1E-5
eb56e7b7-178d-3135-bb9b-170a706121be,32295152-7da7-47cb-b4a2-60ca4f246a80,Mass,kg,,5.49E-5
eb56e7b7-178d-3135-bb9b-170a706121be,3268d8df-59cc-4740-a89f-dee8355ad7c3,Mass,kg,,8.0E-6
eb56e7b7-178d-3135-bb9b-170a706121be,4490af97-53d7-4849-aa85-34b5a50e516b,Mass,kg,,2.1E-7
eb56e7b7-178d-3135-bb9b-170a706121be,4841a0fe-c250-4a39-94a1-1bc31426c0f1,Mass,kg,,2.1E-7
eb56e7b7-178d-3135-bb9b-170a706121be,48430c70-95e0-4036-9854-72cc772ac8b2,Mass,kg,,9.9E-7
eb56e7b7-178d-3135-bb9b-170a706121be,4d9a8790-3ddd-11dd-936e-0050c2490048,Mass,kg,,2.38E-4
eb56e7b7-178d-3135-bb9b-170a706121be,4f0f45e0-b6ed-3927-9eac-55897e58fff3,Mass,kg,,0.0
eb56e7b7-178d-3135-bb9b-170a706121be,56ffbc8c-bf1b-3466-b5bf-f53effa642a5,Mass,kg,,5.49E-5
eb56e7b7-178d-3135-bb9b-170a706121be,65634b3e-5481-4e61-b4fa-b67cb7c4ffc3,Mass,kg,,8.0E-6
eb56e7b7-178d-3135-bb9b-170a706121be,65e1e004-ceed-4b40-ab2b-5f34b07fdb99,Mass,kg,,9.9E-7
eb56e7b7-178d-3135-bb9b-170a706121be,66f50b33-fd62-4fdd-a373-c5b0de7de00d,Mass,kg,,3.02E-6
eb56e7b7-178d-3135-bb9b-170a706121be,675d7403-504b-422c-aa11-7dc8e79e4486,Mass,kg,,8.0E-6
eb56e7b7-178d-3135-bb9b-170a706121be,67b5f511-45bc-4612-8bbb-282b83eb725a,Mass,kg,,5.49E-5
eb56e7b7-178d-3135-bb9b-170a706121be,6ce44f77-d181-4396-8fa2-2276eeeb4c08,Mass,kg,,8.0E-6
eb56e7b7-178d-3135-bb9b-170a706121be,6f93e5a6-5040-36e2-aa7d-195f56eef1ce,Mass,kg,,5.49E-5
eb56e7b7-178d-3135-bb9b-170a706121be,751d9555-8e2e-30e8-9c64-dc1b09681bba,Mass,kg,,1.6E-6
