LCIA category,Flow,Flow property,Flow unit,Location,Factor
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,0008f382-604e-3f6d-ae1a-68e836ef6030,Mass,kg,,350.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,02d3f72f-0497-3d01-8235-797d923687d2,Mass,kg,,350.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,0305b169-255d-4041-8f5d-6e095bcb6358,Mass,kg,,30.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,04350548-ad35-334a-9f1b-3bf65abd6b98,Mass,kg,,30.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,05a7548c-51aa-35d7-bfc9-dc95fcbb5218,Mass,kg,,2300000.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,06874cbb-2daf-4981-a55e-2c38be5b7277,Mass,kg,,65000.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,0878c1c6-4c1d-4f90-a2de-a9383855d5c6,Mass,kg,,2.8E7
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,08a91e70-3ddc-11dd-97f9-0050c2490048,Mass,kg,,3200.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,095dbf93-42f8-4aa6-a6df-2e3d1461ad0d,Mass,kg,,1500000.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,0b9159dd-305d-4add-802f-f7b780ed0289,Mass,kg,,0.098
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,0cd5f087-e6bd-3261-9178-e87062589125,Mass,kg,,170.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,0f8f6c8b-518f-4fb9-92cb-c2668d661428,Mass,kg,,3200000.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,0fa4f51e-b0dc-5d11-84d3-b32f0f3c88d5,Mass,kg,,2700.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,0fb193f7-7db9-3ca2-975f-592cf7be941a,Mass,kg,,26.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,10a562b0-cd0f-3982-8ec4-77bb135a8311,Mass,kg,,370.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,10e3b9bc-648f-4321-be48-5df740b07e04,Mass,kg,,17000.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6,Mass,kg,,6.3
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,14946240-b1ee-412c-b900-ed5728a4e684,Mass,kg,,2300000.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,15545dca-018d-4f7f-aa1f-796b707180af,Mass,kg,,1.0E7
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,15ecd7f4-7734-44ec-af1c-8d3a46d27f1f,Mass,kg,,44000.0
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,16ddda12-daf4-460c-83fb-c361bdbbc9e9,Mass,kg,,2.6E7
ebf84f8d-d27e-4de6-8697-2ddc2197fe80,176598c1-699c-5dd8-8c33-d269ff7f5edd,Mass,kg,,170.0
