LCIA category,Flow,Flow property,Flow unit,Location,Factor
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,00385c24-24c5-4b16-b15f-6f6381945929,Radioactivity,kBq,,0.0
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,0097618c-4552-42d9-b14c-00a07d78c0dc,Radioactivity,kBq,,0.078
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,0097bf60-3729-40b6-94d0-06bd6146cfc2,Radioactivity,kBq,,5.4
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,029057c8-f489-433f-927e-fc18e8b1a51b,Radioactivity,kBq,,4.2
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,04d64aaa-b414-4dea-bf43-78b8b68a1894,Radioactivity,kBq,,16.0
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,053fbadb-c0e4-49ac-a71d-9bc5183f22bf,Radioactivity,kBq,,0.22
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,073e0dba-bc0b-4c76-89e2-2988f2b49459,Radioactivity,kBq,,0.0
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,077b92b0-0610-48ba-9ff8-55c13e98364b,Radioactivity,kBq,,0.078
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,090cc44a-7ca1-46fc-98bf-5bc6f5afb0a6,Radioactivity,kBq,,0.0
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,09bdb17a-1ba0-4116-b2c1-969c093799b8,Radioactivity,kBq,,0.078
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,0ac31b4a-b16d-40c8-928f-cdb8053d988f,Radioactivity,kBq,,16.0
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,0b28fc38-9334-42a9-bac1-a04c2832e79d,Radioactivity,kBq,,0.0
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,0c1f1396-1b8f-4958-858c-1fde3a746125,Radioactivity,kBq,,0.048
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,0c5de0d2-eb1e-4afe-a8de-b600d899516f,Radioactivity,kBq,,0.0
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,0e066010-5511-4ce5-b7ff-446e58417a65,Radioactivity,kBq,,0.0
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,0f8120d4-3365-4301-871c-b5d9716b008e,Radioactivity,kBq,,0.0
eeaa62d5-9a99-43af-aa6d-3600eb7c88c9,0fc1db69-f50d-4a88-b9d8-1446e691063c,Radioactivity,kBq,,4.2
