LCIA category,Flow,Flow property,Flow unit,Location,Factor
f13a4b14-199f-3be9-bda2-03543431d53f,003dd4a0-2f64-3bfa-bd49-af5418dfbd46,Mass,kg,,544.85
f13a4b14-199f-3be9-bda2-03543431d53f,0061bdfe-e7a2-3a33-b56b-42381d4b0495,Mass,kg,,421.01
f13a4b14-199f-3be9-bda2-03543431d53f,0065425c-4137-3ac2-95e1-afff854fc840,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,008c75e6-3436-31dd-87de-92bc82e25751,Mass,kg,,134.42
f13a4b14-199f-3be9-bda2-03543431d53f,0098b967-2131-43d2-b684-254583fbadc7,Mass,kg,,67.142
f13a4b14-199f-3be9-bda2-03543431d53f,00d2fef1-e4d4-4a16-8e81-b8cc514e4c25,Mass,kg,,20.361
f13a4b14-199f-3be9-bda2-03543431d53f,0106f429-18c4-3f41-88e8-6a781fad61ac,Mass,kg,,152.59
f13a4b14-199f-3be9-bda2-03543431d53f,01339e41-4c70-32ea-a32c-486d8071c59a,Mass,kg,,36.142
f13a4b14-199f-3be9-bda2-03543431d53f,02199dea-8af9-36c5-ba00-4390185a94e3,Mass,kg,,79.095
f13a4b14-199f-3be9-bda2-03543431d53f,024e919d-91ee-47c7-9f0b-ebe851cc61fb,Mass,kg,,150.72
f13a4b14-199f-3be9-bda2-03543431d53f,027f560f-1f9d-3a6f-8a4f-b6b4c824bc0a,Mass,kg,,116.25
f13a4b14-199f-3be9-bda2-03543431d53f,02a7b111-6538-4496-a7cc-e03ea5b649bf,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,02b52ed9-26d6-31c5-bef0-93d50e0b57b8,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,02f47487-8da6-433a-91d8-fc0650e53fc4,Mass,kg,,0.24594
f13a4b14-199f-3be9-bda2-03543431d53f,03cc2130-ed64-422f-82b3-fb3459bf9daa,Mass,kg,,18454.0
f13a4b14-199f-3be9-bda2-03543431d53f,0405367e-b450-3279-a323-74110bfb61e4,Mass,kg,,152.59
f13a4b14-199f-3be9-bda2-03543431d53f,043dc201-0d83-3920-87b0-78acd25ac256,Mass,kg,,116.25
f13a4b14-199f-3be9-bda2-03543431d53f,044bdafd-bbdb-3df3-b3ec-73678067085c,Mass,kg,,116.25
f13a4b14-199f-3be9-bda2-03543431d53f,046ec3a2-9ce8-32dd-af14-86d03b738275,Mass,kg,,16.198
f13a4b14-199f-3be9-bda2-03543431d53f,05277edf-098f-3d7f-aeab-75e95a2a582e,Mass,kg,,161.27
f13a4b14-199f-3be9-bda2-03543431d53f,05e9cfc7-f614-3399-89d3-fd6998d1932b,Mass,kg,,116.25
f13a4b14-199f-3be9-bda2-03543431d53f,05f6e226-0593-46f5-a788-01fa306e66ad,Mass,kg,,0.022828
f13a4b14-199f-3be9-bda2-03543431d53f,062bf421-3fd5-351c-8cfe-097fe6c75a1b,Mass,kg,,4.7
f13a4b14-199f-3be9-bda2-03543431d53f,064ac501-cea3-42fc-918c-6b17c113a764,Mass,kg,,2.16E-9
f13a4b14-199f-3be9-bda2-03543431d53f,064f7311-9ba8-33ab-83ce-f26d6a38cd9e,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,068e90b0-787b-31d8-b0fa-33fd8e87faa9,Mass,kg,,27.9
f13a4b14-199f-3be9-bda2-03543431d53f,06dafed2-3fed-310c-9aa7-12f1c52d79eb,Mass,kg,,8.5315
f13a4b14-199f-3be9-bda2-03543431d53f,076d8847-f0f3-3186-b3f6-40d2b2e67dc2,Mass,kg,,211.28
f13a4b14-199f-3be9-bda2-03543431d53f,07fdec49-60f4-3a75-9df9-fbf8989963aa,Mass,kg,,4.38E-9
f13a4b14-199f-3be9-bda2-03543431d53f,0857999c-aaf4-41f9-b3cc-5cc56909ecaa,Mass,kg,,5.3621
f13a4b14-199f-3be9-bda2-03543431d53f,08a91e70-3ddc-11dd-954c-0050c2490048,Mass,kg,,0.066737
f13a4b14-199f-3be9-bda2-03543431d53f,08a91e70-3ddc-11dd-954d-0050c2490048,Mass,kg,,134.42
f13a4b14-199f-3be9-bda2-03543431d53f,08a91e70-3ddc-11dd-97d8-0050c2490048,Mass,kg,,61.977
f13a4b14-199f-3be9-bda2-03543431d53f,08f2f1a4-3aac-3c16-bd04-471a0c407aac,Mass,kg,,134.42
f13a4b14-199f-3be9-bda2-03543431d53f,094310bb-49db-5b2d-ae1b-e7b4ffca1d03,Mass,kg,,8.4584
f13a4b14-199f-3be9-bda2-03543431d53f,097cecfb-bed2-43a0-81b7-c153d0bb14b9,Mass,kg,,180.7
f13a4b14-199f-3be9-bda2-03543431d53f,099b36ab-4c03-4587-87f4-2f81e337afb8,Mass,kg,,0.022828
f13a4b14-199f-3be9-bda2-03543431d53f,09af14a9-46cc-388b-a8b5-41de7f387ed6,Mass,kg,,0.082398
f13a4b14-199f-3be9-bda2-03543431d53f,09f68cec-fab9-38e8-8212-93ea8a5d7a65,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,0a0536c8-020b-3d05-9cdc-4307464527f8,Mass,kg,,116.25
f13a4b14-199f-3be9-bda2-03543431d53f,0a55354a-268a-48f5-abbf-4067b263e5fd,Mass,kg,,36098.0
f13a4b14-199f-3be9-bda2-03543431d53f,0af78f21-204e-432f-aab6-77bbaf9a8363,Mass,kg,,11918.0
f13a4b14-199f-3be9-bda2-03543431d53f,0b0ea9d1-9c54-4e23-bcfc-1b8fc2cf0358,Mass,kg,,14667.0
f13a4b14-199f-3be9-bda2-03543431d53f,0b5fcb50-3d95-377a-9de4-4c26d9881b87,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,0ba8ae54-8942-4d62-b2a7-d0a57c77dac2,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,0bfc53d5-7203-305d-93d5-f690f0c7d1ec,Mass,kg,,36.142
f13a4b14-199f-3be9-bda2-03543431d53f,0c2b21c0-a014-4fbe-9d39-881bf437c2f5,Mass,kg,,0.17126
f13a4b14-199f-3be9-bda2-03543431d53f,0c4e8b46-5fd1-31d4-8eef-b6885a28bc6a,Mass,kg,,116.25
f13a4b14-199f-3be9-bda2-03543431d53f,0cdb1bc8-7251-3f7e-97f0-a6f55225b51d,Mass,kg,,81.848
f13a4b14-199f-3be9-bda2-03543431d53f,0cdc47a9-974d-3e38-842c-a27fe39cddce,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,0cf7d177-0b4b-3858-81ea-ae54d53d6a7f,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,0d1d9119-44bf-4c8e-a878-cdc78fd888ae,Mass,kg,,0.77377
f13a4b14-199f-3be9-bda2-03543431d53f,0d8beeab-c239-3ddc-8a92-85933ce4dee1,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,0dad3964-8bd2-329a-a328-92162babd2e4,Mass,kg,,0.053595
f13a4b14-199f-3be9-bda2-03543431d53f,0ddfaa9d-07ef-32c7-81f6-0453f5c25fda,Mass,kg,,134.42
f13a4b14-199f-3be9-bda2-03543431d53f,0e52946e-05ff-3372-bbf4-3691d4e680c2,Mass,kg,,23647.0
f13a4b14-199f-3be9-bda2-03543431d53f,0f440cc0-0f74-446d-99d6-8ff0e97a2444,Mass,kg,,116.25
f13a4b14-199f-3be9-bda2-03543431d53f,0f6e6162-3b40-3d74-a79a-7caa0e24b60c,Mass,kg,,0.025452
f13a4b14-199f-3be9-bda2-03543431d53f,0f77bae0-57b0-38b5-b30a-78995e425e0d,Mass,kg,,152.59
f13a4b14-199f-3be9-bda2-03543431d53f,0fc1f0ec-2f59-3404-b470-e171981a2dfd,Mass,kg,,116.25
f13a4b14-199f-3be9-bda2-03543431d53f,0fcd8fbb-8e29-3fb2-809e-9bf67d45d057,Mass,kg,,27.266
f13a4b14-199f-3be9-bda2-03543431d53f,1013b9ec-a7b5-459c-be3d-74f61b9ce06e,Mass,kg,,0.12693
f13a4b14-199f-3be9-bda2-03543431d53f,1017bc25-c5ab-3b47-a720-ddbed522db83,Mass,kg,,20.943
f13a4b14-199f-3be9-bda2-03543431d53f,10350e4f-eb0d-448d-a9c8-94d0d92ff490,Mass,kg,,0.0
f13a4b14-199f-3be9-bda2-03543431d53f,10620d9f-984d-328a-8936-cc66fdd770a5,Mass,kg,,1.01E-15
f13a4b14-199f-3be9-bda2-03543431d53f,10c565c3-54ee-36cf-9498-19864d9d3646,Mass,kg,,116.25
