LCIA category,Flow,Flow property,Flow unit,Location,Factor
f3138c2e-ea9c-305a-adf6-65e692e5b761,0000f1e6-dd12-3951-bc45-e4f2135426b5,Mass,kg,,9.39E-13
f3138c2e-ea9c-305a-adf6-65e692e5b761,00012c0a-9bff-4787-a7eb-56c3d2f43692,Mass,kg,,1.29E-10
f3138c2e-ea9c-305a-adf6-65e692e5b761,00014e78-9ad7-3610-be31-e7dc3c1250d1,Mass,kg,,8.74E-11
f3138c2e-ea9c-305a-adf6-65e692e5b761,00062e88-f6d1-478d-aa3a-3f35c8c00127,Mass,kg,,6.01E-10
f3138c2e-ea9c-305a-adf6-65e692e5b761,000bf7ea-56a1-4d33-b453-2281f5810afe,Mass,kg,,1.41E-10
f3138c2e-ea9c-305a-adf6-65e692e5b761,00140226-a94b-3a7e-87d6-7f838ac9528a,Mass,kg,,3.12E-11
f3138c2e-ea9c-305a-adf6-65e692e5b761,0014f81f-33f3-3bfa-9711-90a2c6360900,Mass,kg,,9.67E-9
f3138c2e-ea9c-305a-adf6-65e692e5b761,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,6.48E-12
f3138c2e-ea9c-305a-adf6-65e692e5b761,0017457a-c9ad-43a5-80da-5228b3939750,Mass,kg,,1.43E-7
f3138c2e-ea9c-305a-adf6-65e692e5b761,001aa5b1-9df4-4c2f-a579-8f49989fe2c0,Mass,kg,,3.18E-12
f3138c2e-ea9c-305a-adf6-65e692e5b761,001b19a7-934d-49f4-9114-1d39dcac1b9f,Mass,kg,,9.55E-8
f3138c2e-ea9c-305a-adf6-65e692e5b761,0027ca6f-375a-415d-a712-853ece69e0a8,Mass,kg,,7.59E-13
f3138c2e-ea9c-305a-adf6-65e692e5b761,0038c8df-9f90-34bb-9969-0f2640a2998b,Mass,kg,,5.52E-6
f3138c2e-ea9c-305a-adf6-65e692e5b761,003d5c50-a2bc-3f20-b766-253963bd0df3,Mass,kg,,1.62E-11
f3138c2e-ea9c-305a-adf6-65e692e5b761,00452f80-0c6c-3db9-92ab-2dc2e6269406,Mass,kg,,4.18E-8
f3138c2e-ea9c-305a-adf6-65e692e5b761,004cd1a0-b05a-3b2d-9fd6-74ce22669f88,Mass,kg,,6.16E-8
f3138c2e-ea9c-305a-adf6-65e692e5b761,0058619d-0c77-4b3a-9cc8-3927edcc1c82,Mass,kg,,2.78E-13
f3138c2e-ea9c-305a-adf6-65e692e5b761,00592c17-c38c-3589-9867-871f8b383845,Mass,kg,,2.39E-14
f3138c2e-ea9c-305a-adf6-65e692e5b761,0059893e-77af-3691-9259-9bb80a19fed7,Mass,kg,,6.66E-14
f3138c2e-ea9c-305a-adf6-65e692e5b761,005c978f-413f-3fb0-8d6c-a5140f39abce,Mass,kg,,5.29E-11
f3138c2e-ea9c-305a-adf6-65e692e5b761,0062f19c-4266-423f-866d-9361183a9a71,Mass,kg,,1.06E-11
f3138c2e-ea9c-305a-adf6-65e692e5b761,006aebb1-5682-43d8-ae3c-d81b9b8f169c,Mass,kg,,1.11E-9
f3138c2e-ea9c-305a-adf6-65e692e5b761,00741346-4d61-3fc9-b5bc-d7b6bb1b7d03,Mass,kg,,2.21E-6
f3138c2e-ea9c-305a-adf6-65e692e5b761,007a9c38-0de9-49b2-909f-f42903798cea,Mass,kg,,6.91E-11
f3138c2e-ea9c-305a-adf6-65e692e5b761,007d4ecd-0831-4984-b5e2-814d129c932b,Mass,kg,,8.8E-27
f3138c2e-ea9c-305a-adf6-65e692e5b761,007de693-1d9e-40a5-a8b4-3d11bce8be9a,Mass,kg,,7.09E-12
f3138c2e-ea9c-305a-adf6-65e692e5b761,00825b0c-3a3f-38e1-ba8f-1a112aface7d,Mass,kg,,4.43E-11
f3138c2e-ea9c-305a-adf6-65e692e5b761,00839209-0af1-4662-963b-8172359ce441,Mass,kg,,1.89E-10
f3138c2e-ea9c-305a-adf6-65e692e5b761,0084f973-7133-4d7a-9009-fa46c1f7460c,Mass,kg,,2.67E-27
f3138c2e-ea9c-305a-adf6-65e692e5b761,00860d7f-064f-3bc1-8cb5-c0fbb5c97763,Mass,kg,,1.6E-12
f3138c2e-ea9c-305a-adf6-65e692e5b761,00865dda-9583-3e15-b9b5-9973cd954f1f,Mass,kg,,1.15E-8
f3138c2e-ea9c-305a-adf6-65e692e5b761,008d07bc-acbb-37ee-9c69-f06e5d9007d2,Mass,kg,,2.6E-29
f3138c2e-ea9c-305a-adf6-65e692e5b761,008e978b-34f4-48af-a19f-87106447394d,Mass,kg,,2.31E-10
f3138c2e-ea9c-305a-adf6-65e692e5b761,00946913-24e1-4db7-ab0f-940016ce2343,Mass,kg,,2.98E-26
f3138c2e-ea9c-305a-adf6-65e692e5b761,009ccb2d-86d7-417c-8db1-2f4582895b3a,Mass,kg,,2.99E-12
f3138c2e-ea9c-305a-adf6-65e692e5b761,00a6e6a5-950b-440f-bfb5-632da234aa42,Mass,kg,,1.69E-10
