LCIA category,Flow,Flow property,Flow unit,Location,Factor
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,258263a0-6be3-4439-bd84-efee0498b849,Mass,kg,,34.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,28e1e2d6-97ad-4dfd-932a-9edad36dcab9,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,2cb2333c-1599-46cf-8435-3dffce627524,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,4e1f0bb0-2703-4303-bf86-972d810612cf,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,550eaab3-16d8-3b28-a1a1-5aa018fd394c,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,550eaab3-16d8-3b28-a1a1-5aa018fd394c,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,57bdb443-d4a6-423d-8024-959b8261d02e,Mass,kg,,34.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,57bdb443-d4a6-423d-8024-959b8261d02e,Mass,kg,,34.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,588356df-f3b4-43a7-a76e-c47175a7eae0,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,6c977009-5c4e-4901-a4c1-ab20389cb972,Mass,kg,,34.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,73ed05cc-9727-4abf-9516-4b5c0fe54a16,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,7b44cf6c-867f-34a0-b632-024664899e21,Mass,kg,,34.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,7b44cf6c-867f-34a0-b632-024664899e21,Mass,kg,,34.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,8ffbf5bb-f236-49ec-bb37-55b3561798ea,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,968495ec-1000-438a-9e11-467776ebb54e,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,9afa0173-ecbd-4f2c-9c5c-b3128a032812,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,9afa0173-ecbd-4f2c-9c5c-b3128a032812,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,b58c0d57-fecb-3079-aaf3-49e239bca4cb,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,b58c0d57-fecb-3079-aaf3-49e239bca4cb,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,b821ad93-ba6a-4d74-b6ae-ca12cd9563d7,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,b821ad93-ba6a-4d74-b6ae-ca12cd9563d7,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,baf58fc9-573c-419c-8c16-831ac03203b9,Mass,kg,,34.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,baf58fc9-573c-419c-8c16-831ac03203b9,Mass,kg,,34.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,cc6a1abb-b123-4ca6-8f16-38209df609be,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,d6235194-e4e6-4548-bfa3-ac095131aef4,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,d6703e06-c8e7-3783-8a84-95a1560f8e9c,Mass,kg,,0.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,da1157e2-7593-4dfd-80dd-a3449b37a4d8,Mass,kg,,34.0
f51ef6bb-2e8c-3993-afc7-a6b7173250f2,eba59fd6-f37e-41dc-9ca3-c7ea22d602c7,Mass,kg,,0.0
