LCIA category,Flow,Flow property,Flow unit,Location,Factor
f8dcd63c-cb6b-319d-8860-c81b6b969b46,0795345f-c7ae-410c-ad25-1845784c75f5,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,20408dd0-8534-11e0-9d78-0800200c9a66,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,20408dd1-8534-11e0-9d78-0800200c9a66,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,258263a0-6be3-4439-bd84-efee0498b849,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,299c6564-426e-48c3-b516-fdf301d12127,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,57bdb443-d4a6-423d-8024-959b8261d02e,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,5f7aad3d-566c-4d0d-ad59-e765f971aa0f,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,6b1b495b-70ee-4be6-b1c2-3031aa4d6add,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,6c977009-5c4e-4901-a4c1-ab20389cb972,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,70ef743b-3ed5-4a6d-b192-fb6d62378555,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,711fd742-d357-4291-a133-adb5ca979a21,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,7b44cf6c-867f-34a0-b632-024664899e21,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,7f0ba7c9-341e-413d-80f6-8753727d65d1,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,ad2358fd-bdb0-44eb-aa84-dc9e358323d9,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,b53d3744-3629-4219-be20-980865e54031,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,baf58fc9-573c-419c-8c16-831ac03203b9,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,da1157e2-7593-4dfd-80dd-a3449b37a4d8,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,ef4566f0-60d5-4bbe-a2cb-7268a81fecd4,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,f3bd723a-5276-4ae8-9860-b89537351a90,Mass,kg,,1.0
f8dcd63c-cb6b-319d-8860-c81b6b969b46,f757365c-c6fd-41fe-ad32-3594ccd97ef0,Mass,kg,,1.0
