LCIA category,Flow,Flow property,Flow unit,Location,Factor
fa2f053a-56c4-388c-8784-e5ef5ce142df,05277edf-098f-3d7f-aeab-75e95a2a582e,Mass,kg,,0.22
fa2f053a-56c4-388c-8784-e5ef5ce142df,0857999c-aaf4-41f9-b3cc-5cc56909ecaa,Mass,kg,,0.32
fa2f053a-56c4-388c-8784-e5ef5ce142df,0b5a86df-2ba4-3e9a-be5c-9e35e42d0f61,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,1727b41d-377e-43cd-bc01-9eaba946eccb,Mass,kg,,0.33
fa2f053a-56c4-388c-8784-e5ef5ce142df,18e1aef2-00e7-410d-9613-fdfb305a689e,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,2210ecd7-46b4-390c-93b7-9a5e3447d65b,Mass,kg,,0.1
fa2f053a-56c4-388c-8784-e5ef5ce142df,226fb7e6-0ee2-4e8a-9fac-67d83b77aa75,Mass,kg,,0.32
fa2f053a-56c4-388c-8784-e5ef5ce142df,2a89246a-8408-4775-a6db-7c33656f1469,Mass,kg,,0.33
fa2f053a-56c4-388c-8784-e5ef5ce142df,2d057171-f4dc-337d-aa27-33003b8f698b,Mass,kg,,0.22
fa2f053a-56c4-388c-8784-e5ef5ce142df,2d098ca9-f784-4ee9-81fd-e65df70846c0,Mass,kg,,0.032
fa2f053a-56c4-388c-8784-e5ef5ce142df,2d4b8ec1-8d53-4e62-8a11-ebc45909b02e,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,2f8952b0-c90c-4e3d-b546-52b862fc8f11,Mass,kg,,0.1
fa2f053a-56c4-388c-8784-e5ef5ce142df,329fc7d8-4011-4327-84e4-34ff76f0e42d,Mass,kg,,0.33
fa2f053a-56c4-388c-8784-e5ef5ce142df,362acbd4-9fee-4943-9b92-4e73ef4b3387,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,3aaf9017-0d8a-42aa-9a60-cbc39e994e73,Mass,kg,,0.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,3e129646-13b3-45a9-840a-c6b499f654b9,Mass,kg,,0.22
fa2f053a-56c4-388c-8784-e5ef5ce142df,43156184-3040-4095-9085-38d8895406cc,Mass,kg,,0.32
fa2f053a-56c4-388c-8784-e5ef5ce142df,44662a3f-4ef3-4ab4-bd18-f3a0ce5ad74e,Mass,kg,,0.1
fa2f053a-56c4-388c-8784-e5ef5ce142df,448934cb-8be4-4ae2-acdb-de9dec10459b,Mass,kg,,0.32
fa2f053a-56c4-388c-8784-e5ef5ce142df,490b267b-f429-4d9a-ac79-224e37fb4d58,Mass,kg,,0.33
fa2f053a-56c4-388c-8784-e5ef5ce142df,4a5a08f6-51ab-41e7-809a-13d70b509740,Mass,kg,,0.32
fa2f053a-56c4-388c-8784-e5ef5ce142df,4ab486b5-7102-4a88-a7fd-3e7b42e0e2e2,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,4ba931a8-50e1-4b94-abe2-f645e93bb574,Mass,kg,,0.33
fa2f053a-56c4-388c-8784-e5ef5ce142df,4d11b9d2-f8b4-413f-822f-141d7ae493d8,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,503ccbc4-8697-46e7-9a9b-beee17d4cdec,Mass,kg,,0.33
fa2f053a-56c4-388c-8784-e5ef5ce142df,51f1aca9-c614-3d2b-b580-717cdc13fc0b,Mass,kg,,0.1
fa2f053a-56c4-388c-8784-e5ef5ce142df,5687da3e-fa56-4ad0-81bc-a5f6d175433e,Mass,kg,,0.32
fa2f053a-56c4-388c-8784-e5ef5ce142df,5def994f-b874-463f-9129-4176dff192cc,Mass,kg,,0.032
fa2f053a-56c4-388c-8784-e5ef5ce142df,6054fc06-c63a-48f2-bb80-3733834167bc,Mass,kg,,0.33
fa2f053a-56c4-388c-8784-e5ef5ce142df,62f3d964-9b53-4d01-9ee0-04112dcfc6d2,Mass,kg,,0.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,6a7e5863-714c-4dd4-9fbc-0d92b8f67e93,Mass,kg,,0.22
fa2f053a-56c4-388c-8784-e5ef5ce142df,7502ee31-9464-41bb-a061-ec90696679d6,Mass,kg,,0.033
fa2f053a-56c4-388c-8784-e5ef5ce142df,76b09afe-52b9-4ecc-b97a-00b49ad8ed1a,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,776c6280-fa1d-42d9-94b0-ad859c2b5993,Mass,kg,,0.022
fa2f053a-56c4-388c-8784-e5ef5ce142df,8775e96b-ad1e-4484-a4b3-5aa8e832650d,Mass,kg,,0.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,8785b396-a1c1-3d39-b819-5b429f33dbf8,Mass,kg,,0.1
fa2f053a-56c4-388c-8784-e5ef5ce142df,89b48ac9-f3ea-3c38-b776-aac911237361,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,8b0a4a41-c65c-4d94-b10c-94ddb98abdd2,Mass,kg,,0.1
fa2f053a-56c4-388c-8784-e5ef5ce142df,93505265-caec-3681-befa-b5f9544197a0,Mass,kg,,0.22
fa2f053a-56c4-388c-8784-e5ef5ce142df,970f4540-8369-48a8-97f4-e8273793a80d,Mass,kg,,0.1
fa2f053a-56c4-388c-8784-e5ef5ce142df,9caf6b8a-03ae-478b-a6a0-d8423b0cd16a,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,a60d4bd7-4973-49d4-8e0d-e0d267d800e8,Mass,kg,,0.033
fa2f053a-56c4-388c-8784-e5ef5ce142df,a87680bc-ecde-471a-88bb-6bc7482a62cf,Mass,kg,,0.33
fa2f053a-56c4-388c-8784-e5ef5ce142df,ad62c648-1af8-4805-bbfb-64c6361eb9f6,Mass,kg,,0.33
fa2f053a-56c4-388c-8784-e5ef5ce142df,b1fca66f-8e83-469a-a7b5-018e14d5d545,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,b2631209-8374-431e-b7d5-56c96c6b6d79,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,b6e2f7f4-6b2e-4b3e-be1f-67626cb8205d,Mass,kg,,0.1
fa2f053a-56c4-388c-8784-e5ef5ce142df,b7fe9940-1c0c-4065-b9b9-fd473b432f64,Mass,kg,,0.1
fa2f053a-56c4-388c-8784-e5ef5ce142df,c8791f3c-3c4a-4278-91c0-483797d14da2,Mass,kg,,0.33
fa2f053a-56c4-388c-8784-e5ef5ce142df,c89a0749-40a5-4c9c-8770-c4295ea34977,Mass,kg,,0.1
fa2f053a-56c4-388c-8784-e5ef5ce142df,c8a80a68-83a7-4453-97f4-082ee1b60c71,Mass,kg,,0.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,cefa3637-739c-5e9f-99a6-2456e6a44772,Mass,kg,,0.32
fa2f053a-56c4-388c-8784-e5ef5ce142df,d07a6bba-3816-4ac1-bb17-f0b99e5ee17a,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,d501bed2-4ab9-47ff-baf7-cafbec9f10d2,Mass,kg,,0.032
fa2f053a-56c4-388c-8784-e5ef5ce142df,d76b8325-e4de-4d1c-b2b8-cf0128dc941c,Mass,kg,,1.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,d9a9027d-a792-4e1a-8507-7e93cf63901f,Mass,kg,,0.0
fa2f053a-56c4-388c-8784-e5ef5ce142df,dcd473f2-93b3-416b-8b97-d157b6ce1fe8,Mass,kg,,0.32
