LCIA category,Flow,Flow property,Flow unit,Location,Factor
fd18f8b0-0656-33c0-956d-aeee95762653,0015315d-a2b8-4b72-8e60-0d34a72e6de8,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,0017457a-c9ad-43a5-80da-5228b3939750,Mass,kg,,1.229330911
fd18f8b0-0656-33c0-956d-aeee95762653,001bd983-3bc9-34df-88a3-45e7a2d4fb6c,Mass,kg,,0.039434289
fd18f8b0-0656-33c0-956d-aeee95762653,0021fb4d-7e20-3e3a-8ebe-44d37fb602f8,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,00230c7d-39dd-4421-a9c0-ed9a3a1124a8,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,002e66cf-de49-3d8e-8ae6-e3bc0ee1587f,Mass,kg,,0.044289114
fd18f8b0-0656-33c0-956d-aeee95762653,003e6bac-69e3-418b-8f22-4dae438ff178,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,004cd1a0-b05a-3b2d-9fd6-74ce22669f88,Mass,kg,,135.2719074
fd18f8b0-0656-33c0-956d-aeee95762653,00532167-2be6-3b95-85ef-faa96e4c0aa0,Mass,kg,,0.13862765
fd18f8b0-0656-33c0-956d-aeee95762653,005d064c-39ac-3280-8870-fce19c74941d,Mass,kg,,23.36377379
fd18f8b0-0656-33c0-956d-aeee95762653,006f0d71-7234-30f6-8bcf-4c51a9f415d8,Mass,kg,,1399.468253
fd18f8b0-0656-33c0-956d-aeee95762653,0072c80b-5354-39e8-a65e-dd00d5b8c33b,Mass,kg,,4.323749076
fd18f8b0-0656-33c0-956d-aeee95762653,007d4ecd-0831-4984-b5e2-814d129c932b,Mass,kg,,992.2781048
fd18f8b0-0656-33c0-956d-aeee95762653,007de693-1d9e-40a5-a8b4-3d11bce8be9a,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,00810457-890b-328f-aa23-4e951f0e22f5,Mass,kg,,27.26114091
fd18f8b0-0656-33c0-956d-aeee95762653,008d112b-c3ef-41f5-afad-021b89977d76,Mass,kg,,34.56867689
fd18f8b0-0656-33c0-956d-aeee95762653,008e29af-9d53-3e0f-af1c-84a294aa1a8c,Mass,kg,,0.005724247
fd18f8b0-0656-33c0-956d-aeee95762653,008e978b-34f4-48af-a19f-87106447394d,Mass,kg,,21.93910317
fd18f8b0-0656-33c0-956d-aeee95762653,00940bd6-b87f-3158-a513-219bb5b833d6,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,0094dac0-553d-3d07-afed-ad395b041e9a,Mass,kg,,628.0
fd18f8b0-0656-33c0-956d-aeee95762653,00995ee7-7348-47f0-ad55-c0a02b460b77,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,009ccb2d-86d7-417c-8db1-2f4582895b3a,Mass,kg,,8.356903248
fd18f8b0-0656-33c0-956d-aeee95762653,00a37edd-47ce-3c5d-8c2c-5a6f497d8159,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,00a9314a-5cc6-3013-9a7d-ed70d06102dd,Mass,kg,,12.46963511
fd18f8b0-0656-33c0-956d-aeee95762653,00aa0cf5-b870-3647-bf9a-f74cb383a024,Mass,kg,,91.99229482
fd18f8b0-0656-33c0-956d-aeee95762653,00abc06d-2abf-4963-bfb1-1d27cc1e6bda,Mass,kg,,0.130885901
fd18f8b0-0656-33c0-956d-aeee95762653,00ae8967-937d-36f0-bad6-0f883f74ebe1,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,00afd08e-70f6-30ac-9379-6654f6ef74db,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,00b173de-eb85-35f5-b6d8-ba8a18cae2df,Mass,kg,,184.6620655
fd18f8b0-0656-33c0-956d-aeee95762653,00ba40b0-bdb0-3d36-a0a8-e55b2f2588f2,Mass,kg,,16.94938546
fd18f8b0-0656-33c0-956d-aeee95762653,00bd675a-07e5-312b-b1af-c1a0995f7cf2,Mass,kg,,0.479154118
fd18f8b0-0656-33c0-956d-aeee95762653,00c996d9-3d4d-3912-b288-c84bbab20e8a,Mass,kg,,139.1232899
fd18f8b0-0656-33c0-956d-aeee95762653,00cf437a-ed92-34b4-944d-4023af8c0a98,Mass,kg,,1.353062204
fd18f8b0-0656-33c0-956d-aeee95762653,00d46874-7024-4302-adef-20cfeec24169,Mass,kg,,0.328297744
fd18f8b0-0656-33c0-956d-aeee95762653,00dab2bf-b16e-3581-91c2-bc60d96e533b,Mass,kg,,104.1520814
fd18f8b0-0656-33c0-956d-aeee95762653,00f32408-d04c-3809-9e82-cde72702c80b,Mass,kg,,0.356220811
fd18f8b0-0656-33c0-956d-aeee95762653,00facf2d-2dd3-3baf-a0be-99029ddce3b8,Mass,kg,,0.028220233
fd18f8b0-0656-33c0-956d-aeee95762653,00fdc37e-d074-387a-9b87-cc32f0a631b4,Mass,kg,,1399.468253
fd18f8b0-0656-33c0-956d-aeee95762653,0107ab76-47eb-3a90-8f13-eba54fa9c643,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,010a6b4e-4fd0-31be-9732-f8bd1879b197,Mass,kg,,0.326380475
fd18f8b0-0656-33c0-956d-aeee95762653,010b992a-74e9-3797-971f-931555677112,Mass,kg,,3.621850294
fd18f8b0-0656-33c0-956d-aeee95762653,010e7cc2-7cf9-3450-91fc-190f87e1f2a9,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,0129b2da-70d9-33d1-a31c-96b96355c40a,Mass,kg,,0.002866278
fd18f8b0-0656-33c0-956d-aeee95762653,012b0962-47e2-40c7-8df9-57da1284c4ff,Mass,kg,,0.134972561
fd18f8b0-0656-33c0-956d-aeee95762653,01367c00-66bf-3067-b0b0-468528c95543,Mass,kg,,3.011693159
fd18f8b0-0656-33c0-956d-aeee95762653,014948f0-5e02-3114-a2cb-8e69ead1c619,Mass,kg,,10.52669312
fd18f8b0-0656-33c0-956d-aeee95762653,014bd81b-88c7-4a81-b872-201dcbfb8bbf,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,01503917-8c8e-3112-a67b-4b1ee2e718cf,Mass,kg,,3.356174901
fd18f8b0-0656-33c0-956d-aeee95762653,0150b447-b455-4f87-baf3-811952588948,Mass,kg,,45.91219979
fd18f8b0-0656-33c0-956d-aeee95762653,0168d3e5-0e02-41b0-b26a-6cb789ce5ad8,Mass,kg,,3.419039233
fd18f8b0-0656-33c0-956d-aeee95762653,016ddd71-c46a-335f-aeb3-00a95bb12f57,Mass,kg,,13.24986155
fd18f8b0-0656-33c0-956d-aeee95762653,0170952d-4aeb-3363-adf8-3918f6fd76ac,Mass,kg,,0.058551523
fd18f8b0-0656-33c0-956d-aeee95762653,0179e362-3fe9-3324-9296-72a48f45d709,Mass,kg,,5.43E-4
fd18f8b0-0656-33c0-956d-aeee95762653,017de1b4-a1e7-3f0b-86cc-3254cdfeb9fc,Mass,kg,,0.045027363
fd18f8b0-0656-33c0-956d-aeee95762653,0186d4a3-1d56-4d8d-ae6c-ce9975d1e11a,Mass,kg,,0.074417317
fd18f8b0-0656-33c0-956d-aeee95762653,0187f523-f576-3a37-987f-edd5c5310720,Mass,kg,,29.76507376
fd18f8b0-0656-33c0-956d-aeee95762653,01a0ee45-df98-4286-a8ee-fe5660c3177a,Mass,kg,,12.44866455
fd18f8b0-0656-33c0-956d-aeee95762653,01a88954-538c-30b0-b677-95fd81bcfb59,Mass,kg,,11.39197784
fd18f8b0-0656-33c0-956d-aeee95762653,01abb036-1af5-3012-95bf-3fa411b83550,Mass,kg,,0.882076085
fd18f8b0-0656-33c0-956d-aeee95762653,01b860fc-4669-3f97-81b9-ea4cbb8f67c6,Mass,kg,,0.425864209
fd18f8b0-0656-33c0-956d-aeee95762653,01b9d81a-ce16-3db0-937f-c152fa2ea8ee,Mass,kg,,0.222941607
fd18f8b0-0656-33c0-956d-aeee95762653,01c898c1-6df0-3afb-9225-30d459335979,Mass,kg,,111.0126471
fd18f8b0-0656-33c0-956d-aeee95762653,01d8bcc8-196c-3efc-a535-54ddbb431099,Mass,kg,,7.105122089
fd18f8b0-0656-33c0-956d-aeee95762653,01ec444e-deeb-3c28-86d6-fa90e8948b88,Mass,kg,,0.00677584
fd18f8b0-0656-33c0-956d-aeee95762653,01ee6710-fed1-3602-adc6-4490698329cc,Mass,kg,,0.441040329
fd18f8b0-0656-33c0-956d-aeee95762653,01ef5c49-e754-3906-8fb4-a92eb8c89e5a,Mass,kg,,0.209712835
fd18f8b0-0656-33c0-956d-aeee95762653,01f06523-e580-48e0-a760-d59628845bd7,Mass,kg,,10.59579587
fd18f8b0-0656-33c0-956d-aeee95762653,0203e026-c995-3c52-bbe2-f62949781515,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,020e8407-dc31-3643-b9c8-7d67a2f973e8,Mass,kg,,0.067851172
fd18f8b0-0656-33c0-956d-aeee95762653,020f186e-99da-32f2-af12-b557565d6efa,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,02156abf-3839-5778-897a-4c06444701d4,Mass,kg,,4.492656121
fd18f8b0-0656-33c0-956d-aeee95762653,0233e71e-20a3-3b58-a0d6-0d5a18d60caa,Mass,kg,,8.31221508
fd18f8b0-0656-33c0-956d-aeee95762653,023576a9-aaa8-355d-b6fc-087161554edc,Mass,kg,,1.630205298
fd18f8b0-0656-33c0-956d-aeee95762653,023bf5b7-7207-4260-ac3d-c547ddeea46c,Mass,kg,,0.487740642
fd18f8b0-0656-33c0-956d-aeee95762653,023e17b1-8fee-47e0-86e0-a3b7e22a1458,Mass,kg,,10213.11299
fd18f8b0-0656-33c0-956d-aeee95762653,02416b12-3268-3d9e-be4f-77f03cfc6454,Mass,kg,,1.345907413
fd18f8b0-0656-33c0-956d-aeee95762653,0242268d-919f-4dba-80f8-7c16288f3fbd,Mass,kg,,0.034026645
fd18f8b0-0656-33c0-956d-aeee95762653,024b1a73-0cff-4b49-9e1e-7d75110f1e31,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,024e7ed2-aed1-4aad-af6c-f8de38d09a5a,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,02603770-285a-42cd-810c-ad8d1a529fbe,Mass,kg,,0.031133086
fd18f8b0-0656-33c0-956d-aeee95762653,02604ba3-2864-311d-8d83-0888d50119d8,Mass,kg,,40.26076833
fd18f8b0-0656-33c0-956d-aeee95762653,02683988-9b0e-3fdf-bd41-133d526cc763,Mass,kg,,3.847776918
fd18f8b0-0656-33c0-956d-aeee95762653,0269e0cb-f837-3167-b04a-98cc508607cb,Mass,kg,,910.0211668
fd18f8b0-0656-33c0-956d-aeee95762653,027af854-59b0-32b5-8ea4-50a069c925b6,Mass,kg,,0.541745122
fd18f8b0-0656-33c0-956d-aeee95762653,02815ee6-1d99-4207-bb92-80a346c2f812,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,028288f5-4e88-4c0b-928d-7cbdd8b9b305,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,0283b601-fab3-3425-b16a-af5b1af3c382,Mass,kg,,1.037768592
fd18f8b0-0656-33c0-956d-aeee95762653,028d03b7-fbf6-4b32-a0d8-60e6bf67768b,Mass,kg,,0.086498662
fd18f8b0-0656-33c0-956d-aeee95762653,028df81e-ecc6-383d-8f73-85bea9a8b7a2,Mass,kg,,2.574373766
fd18f8b0-0656-33c0-956d-aeee95762653,02939d93-67e3-3c74-886a-1d4be1552a99,Mass,kg,,0.004878109
fd18f8b0-0656-33c0-956d-aeee95762653,02979a5a-7899-3215-a3d5-bb9ceb7fda49,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,029a1e48-1169-3900-b35f-990505ac2ab0,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,029a9bc0-2e03-3666-b089-63fa65d3475f,Mass,kg,,513.7782613
fd18f8b0-0656-33c0-956d-aeee95762653,02b3776e-58cc-3d2a-a94d-a3e0ec2f611d,Mass,kg,,4.205974512
fd18f8b0-0656-33c0-956d-aeee95762653,02b65086-f0a5-380d-a5d7-1948a7c57b45,Mass,kg,,18.26313243
fd18f8b0-0656-33c0-956d-aeee95762653,02c1ff3f-e0ce-4f0d-8f21-5fae57bb2d24,Mass,kg,,1.695729787
fd18f8b0-0656-33c0-956d-aeee95762653,02c30661-ae3f-3051-a8d8-57b1dbfd3da7,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,02c95839-41a1-386a-a77b-18bfea7c61f2,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,02ce9bec-8567-3d9e-8566-526d7ae95809,Mass,kg,,3.787971146
fd18f8b0-0656-33c0-956d-aeee95762653,02d82a3e-445b-3fc2-b7b5-3c5c12bb28e3,Mass,kg,,0.356220811
fd18f8b0-0656-33c0-956d-aeee95762653,02d9861b-ecf3-3985-8ced-09f3b22000f7,Mass,kg,,0.029015686
fd18f8b0-0656-33c0-956d-aeee95762653,02da0eec-2636-3c5a-baa1-d3d9a5a80918,Mass,kg,,58.36971433
fd18f8b0-0656-33c0-956d-aeee95762653,02dbf45a-35ff-3bc8-8f65-172c4f5a1afe,Mass,kg,,3265.844722
fd18f8b0-0656-33c0-956d-aeee95762653,02e30325-1740-3070-859e-f11325189f85,Mass,kg,,10.27414852
fd18f8b0-0656-33c0-956d-aeee95762653,02eb30a8-ed7c-456b-a1fe-2cdffea4fb8d,Mass,kg,,151.0530267
fd18f8b0-0656-33c0-956d-aeee95762653,02ebcbc7-bd01-3cd7-970a-4d67a5d2a4ee,Mass,kg,,0.295766261
fd18f8b0-0656-33c0-956d-aeee95762653,02ec725f-0b74-3ff5-8db2-e7580c82cc63,Mass,kg,,45.55526058
fd18f8b0-0656-33c0-956d-aeee95762653,03000b6d-1fa8-3975-9ac4-91c52c970f2e,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,0307b8bd-3f44-33bc-a9a6-ad676dbf72bd,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,0315d855-dff2-44af-bb37-1b855df53d69,Mass,kg,,0.011553025
fd18f8b0-0656-33c0-956d-aeee95762653,031c01ae-9dd1-3caf-b92e-2279f8e07be3,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,031d780b-4af6-3ba1-b69f-821bfa4fbf94,Mass,kg,,0.548758688
fd18f8b0-0656-33c0-956d-aeee95762653,031dda87-cd03-32ab-9076-05ec7a53d08e,Mass,kg,,0.672618916
fd18f8b0-0656-33c0-956d-aeee95762653,0321eab2-9a89-392b-b01f-284dc53fcde1,Mass,kg,,1.089634891
fd18f8b0-0656-33c0-956d-aeee95762653,03267789-de0d-3e1e-8651-32f525d1ed29,Mass,kg,,0.013719279
fd18f8b0-0656-33c0-956d-aeee95762653,032ba472-f30e-344c-980c-669a5e228a0d,Mass,kg,,2.17183761
fd18f8b0-0656-33c0-956d-aeee95762653,033037ca-5dea-4992-8236-c9f5299ca888,Mass,kg,,0.316934847
fd18f8b0-0656-33c0-956d-aeee95762653,0330e73b-c9ba-4440-b153-284c6a9210d0,Mass,kg,,155.2924296
fd18f8b0-0656-33c0-956d-aeee95762653,033320e5-e982-3626-9b16-1ebe6ecba31b,Mass,kg,,0.169185147
fd18f8b0-0656-33c0-956d-aeee95762653,033a07b2-acef-391c-808b-ce41cbe04195,Mass,kg,,7.27571725
fd18f8b0-0656-33c0-956d-aeee95762653,03431481-a194-335a-b50a-a4ddaab21ff3,Mass,kg,,0.041710272
fd18f8b0-0656-33c0-956d-aeee95762653,03569277-7d08-3b9c-a960-e7b457b5c3b3,Mass,kg,,0.840381581
fd18f8b0-0656-33c0-956d-aeee95762653,035bf0ad-fbb3-4c28-93b6-b693bcb7778a,Mass,kg,,0.01445609
fd18f8b0-0656-33c0-956d-aeee95762653,0368509a-68ea-3b10-8929-171ce246f0eb,Mass,kg,,0.02611804
fd18f8b0-0656-33c0-956d-aeee95762653,036ed110-5a8f-42a7-9669-040a221fe4ae,Mass,kg,,1.34E-4
fd18f8b0-0656-33c0-956d-aeee95762653,036f4322-b080-3471-9a28-ca343403b5ea,Mass,kg,,6.867820506
fd18f8b0-0656-33c0-956d-aeee95762653,0372cdc0-34cb-3c8e-98e9-fbafd0728d0b,Mass,kg,,339.7578799
fd18f8b0-0656-33c0-956d-aeee95762653,03758df7-503a-400e-bc7b-ec05825761a5,Mass,kg,,2.477241655
fd18f8b0-0656-33c0-956d-aeee95762653,03780039-bc1f-3bca-9817-f6172b8cf386,Mass,kg,,0.013566003
fd18f8b0-0656-33c0-956d-aeee95762653,0378ce54-bedf-359f-bde6-07e00b0c033e,Mass,kg,,555.261423
fd18f8b0-0656-33c0-956d-aeee95762653,037e0810-5b56-3c54-810e-7b13b45de1a4,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,0380f818-a556-3dc8-be5a-bc4c3529abbb,Mass,kg,,0.234250207
fd18f8b0-0656-33c0-956d-aeee95762653,03877d2e-76ed-4136-b798-81c4a6e8be3b,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,038a803e-6a9e-35dd-a2b6-d3fa6aa8c3e5,Mass,kg,,28.15752362
fd18f8b0-0656-33c0-956d-aeee95762653,038b9f2f-da17-3a89-bd7f-759629a22f5c,Mass,kg,,1.295454007
fd18f8b0-0656-33c0-956d-aeee95762653,03968f54-e3db-3540-a9df-a657d62b2304,Mass,kg,,56291.10607
fd18f8b0-0656-33c0-956d-aeee95762653,039cbc55-b093-3753-88ec-849265336e54,Mass,kg,,18.41156915
fd18f8b0-0656-33c0-956d-aeee95762653,03a0ad85-9e2e-307a-9176-daa6b1c8fa9c,Mass,kg,,0.933988855
fd18f8b0-0656-33c0-956d-aeee95762653,03af03e2-4232-3953-b2f0-dd2cd88854b1,Mass,kg,,0.049056473
fd18f8b0-0656-33c0-956d-aeee95762653,03b279a7-4626-4703-a451-d0650599dbd9,Mass,kg,,122.6454637
fd18f8b0-0656-33c0-956d-aeee95762653,03b72fae-ca4d-3284-932b-136a294f0fb5,Mass,kg,,4.33E-5
fd18f8b0-0656-33c0-956d-aeee95762653,03bf0232-71f7-3178-952f-a803096e6e71,Mass,kg,,161.2264203
fd18f8b0-0656-33c0-956d-aeee95762653,03ca88cc-9032-41f4-b758-69e3592a38ee,Mass,kg,,2172.839491
fd18f8b0-0656-33c0-956d-aeee95762653,03cc2130-ed64-422f-82b3-fb3459bf9daa,Mass,kg,,2.085718102
fd18f8b0-0656-33c0-956d-aeee95762653,03d0c9cc-bf6c-4ff5-bc75-a59b7df7c953,Mass,kg,,2.900637933
fd18f8b0-0656-33c0-956d-aeee95762653,03d2c620-bfaf-3f33-82e5-a3ef8c051095,Mass,kg,,0.254965188
fd18f8b0-0656-33c0-956d-aeee95762653,03d57eb2-5620-39ea-8727-1686ca83a281,Mass,kg,,0.273375216
fd18f8b0-0656-33c0-956d-aeee95762653,03dd3813-732b-39e4-87b9-c8565fb50e43,Mass,kg,,9678.61689
fd18f8b0-0656-33c0-956d-aeee95762653,03e0e91d-a2a6-37c3-93bc-879f4d23f044,Mass,kg,,0.187448608
fd18f8b0-0656-33c0-956d-aeee95762653,03f25ec5-39c7-33ac-bd8f-54d055957397,Mass,kg,,0.400329533
fd18f8b0-0656-33c0-956d-aeee95762653,03ffcbb3-3da8-3fb2-9f48-66116953698b,Mass,kg,,0.51880044
fd18f8b0-0656-33c0-956d-aeee95762653,040408e0-2d06-3b71-af98-15c0f4e7940a,Mass,kg,,0.117648333
fd18f8b0-0656-33c0-956d-aeee95762653,0404fbf7-6c6b-3247-bb6e-0d82f617e4d4,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,0408b2a9-ddb1-327b-a314-3aea11f37bfa,Mass,kg,,134.8758823
fd18f8b0-0656-33c0-956d-aeee95762653,040ef1f5-3217-3bef-a958-68827821675f,Mass,kg,,0.519632521
fd18f8b0-0656-33c0-956d-aeee95762653,041e970d-3ca7-4422-bcf4-135a16eaf58b,Mass,kg,,0.249029915
fd18f8b0-0656-33c0-956d-aeee95762653,044821d3-c353-3218-9429-56662017645e,Mass,kg,,4.142602295
fd18f8b0-0656-33c0-956d-aeee95762653,044b9b1d-0406-4da9-bc8a-f180176e7ed9,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,044bcb54-4d9e-373c-9da3-15792ec0276e,Mass,kg,,0.011332476
fd18f8b0-0656-33c0-956d-aeee95762653,044e48dc-1354-39b7-9309-f6928a7f1679,Mass,kg,,0.005267506
fd18f8b0-0656-33c0-956d-aeee95762653,045aac38-b4ab-3991-929b-815520217ef2,Mass,kg,,0.041736213
fd18f8b0-0656-33c0-956d-aeee95762653,045c2b3c-a38f-3f73-a7af-1cc3a15b9421,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,0462883e-c093-38ea-8b12-f1e4e00e4d63,Mass,kg,,9.844080313
fd18f8b0-0656-33c0-956d-aeee95762653,04642c8e-a7d0-3720-89df-cdb443c333e1,Mass,kg,,0.0
fd18f8b0-0656-33c0-956d-aeee95762653,04780080-facf-39db-8218-4a3ebc0a64a1,Mass,kg,,0.034550542
fd18f8b0-0656-33c0-956d-aeee95762653,047be6b4-6172-3e2a-9645-ae1b8e5f3b7f,Mass,kg,,0.597967988
fd18f8b0-0656-33c0-956d-aeee95762653,047f1c04-df23-442c-8c69-dc989891b4c5,Mass,kg,,0.007264215
