LCIA category,Flow,Flow property,Flow unit,Location,Factor
ffc6b0fa-e55c-396e-ae24-595cf706949e,00062e88-f6d1-478d-aa3a-3f35c8c00127,Mass,kg,,3.59E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,001b19a7-934d-49f4-9114-1d39dcac1b9f,Mass,kg,,1.17E-5
ffc6b0fa-e55c-396e-ae24-595cf706949e,0038c8df-9f90-34bb-9969-0f2640a2998b,Mass,kg,,1.22E-5
ffc6b0fa-e55c-396e-ae24-595cf706949e,00741346-4d61-3fc9-b5bc-d7b6bb1b7d03,Mass,kg,,1.6E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,008f07c8-25b3-3254-a953-4dface69148d,Mass,kg,,1.95E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,009f3374-e604-4e24-88f5-d785cd93aac7,Mass,kg,,5.19E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,00a726da-7434-399d-b21e-1ddbe592ce73,Mass,kg,,1.86E-6
ffc6b0fa-e55c-396e-ae24-595cf706949e,00ad7489-7661-4082-81f3-12b0d5346256,Mass,kg,,3.57E-6
ffc6b0fa-e55c-396e-ae24-595cf706949e,00ba40b0-bdb0-3d36-a0a8-e55b2f2588f2,Mass,kg,,2.09E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,010f3f3c-24d3-3ea1-be0b-8c9201c75dba,Mass,kg,,2.77E-6
ffc6b0fa-e55c-396e-ae24-595cf706949e,01214249-c582-30ba-91ea-00b01de8d705,Mass,kg,,2.66E-5
ffc6b0fa-e55c-396e-ae24-595cf706949e,0121c4fb-8c6c-398d-90fe-567660e21983,Mass,kg,,2.57E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,012aa9a7-6301-3407-aa21-18e0858d1a71,Mass,kg,,2.79E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,016f8e1e-49d5-3612-ba15-c12f1839cea2,Mass,kg,,4.58E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,017e43aa-96ae-3fbb-8ca4-d41b5aa6c452,Mass,kg,,4.13E-5
ffc6b0fa-e55c-396e-ae24-595cf706949e,01823d8d-4512-309e-90d2-f5ba6f299160,Mass,kg,,4.13E-5
ffc6b0fa-e55c-396e-ae24-595cf706949e,01a08ae1-5ba3-4d83-a7e5-e89525e0e179,Mass,kg,,3.05E-6
ffc6b0fa-e55c-396e-ae24-595cf706949e,02287757-3a68-3b64-9dc6-615b00516b25,Mass,kg,,4.13E-5
ffc6b0fa-e55c-396e-ae24-595cf706949e,025560af-dab6-3f57-8547-083a2700e3f4,Mass,kg,,2.62E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,0286a14c-77d4-45c3-9c1a-971acf6b3b58,Mass,kg,,4.37E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,029695db-6960-425e-ace9-fc7b8fd47cc8,Mass,kg,,3.37E-6
ffc6b0fa-e55c-396e-ae24-595cf706949e,0380b284-8e7f-4881-b7cc-528743631d3f,Mass,kg,,9.77E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,0392ef32-a072-305d-9d6b-896708a1a711,Mass,kg,,4.19E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,0405bc79-bea0-4977-99d6-1628366f7962,Mass,kg,,4.44E-6
ffc6b0fa-e55c-396e-ae24-595cf706949e,041b1a9e-b89d-4e67-bd40-c5fb1f36d384,Mass,kg,,1.95E-5
ffc6b0fa-e55c-396e-ae24-595cf706949e,0425e84b-e115-4754-9c16-176b1769905f,Mass,kg,,1.83E-7
ffc6b0fa-e55c-396e-ae24-595cf706949e,0428389e-afd6-324c-bb66-dc5e61365182,Mass,kg,,1.86E-6
ffc6b0fa-e55c-396e-ae24-595cf706949e,045ba96e-c7bb-32eb-afe6-9814d887cb07,Mass,kg,,9.77E-4
ffc6b0fa-e55c-396e-ae24-595cf706949e,0467e0e5-0506-343f-93b9-75cc9ee3698f,Mass,kg,,1.22E-5
ffc6b0fa-e55c-396e-ae24-595cf706949e,04d1446a-5d5d-3a20-88d2-bc0a35224499,Mass,kg,,2.44E-6
ffc6b0fa-e55c-396e-ae24-595cf706949e,04e8b9b6-ce9f-35d6-ad51-39f5fe574d0d,Mass,kg,,2.09E-5
