LCIA method,LCIA category
AWARE,2e0e479e-6ea7-3221-88ea-41aa6530c5d2
BEES+,077620f4-b37c-361f-b873-090e6b2dacbd
BEES+,0b65bca5-b93c-3231-8cb7-251dd07dc7e4
BEES+,0c6bbea0-170f-3ff4-9780-45139d0f5883
BEES+,3ad074dd-9970-35bd-9a64-679b151b4d63
BEES+,4ac6c32d-e63a-378e-be67-1f0f7f474d09
BEES+,5607c0e9-417e-3cc4-8529-2d4dfda25e82
BEES+,849a02bc-cdab-3ab4-b9a1-e70c8b4614cb
BEES+,8888a9ff-6ab1-3696-9832-a00fbe420ba0
BEES+,99ed6201-5759-315b-b42e-d189feb8f562
BEES+,9dab4ab4-3696-39ad-ab1a-527600c29cb4
BEES+,9edd1ed0-2a89-3747-8456-474ac409aa1f
BEES+,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d
BEES+,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f
Berger et al 2014 (Water Scarcity),f9e85ee6-1163-3d02-9158-1564276613e5
Boulay et al 2011 (Human Health),379b6af4-10b2-3313-924f-c95dada6cc33
Boulay et al 2011 (Human Health),d54f4770-5fb3-3acf-80dd-09b2acb6d4ed
Boulay et al 2011 (Water Scarcity),0e2130aa-4c10-3fb7-b746-e47b0da55625
CML-IA baseline,1d718284-11cd-338b-8fa2-dca155579f9d
CML-IA baseline,3a7921c8-147c-39e4-96c8-08e7e72a0d47
CML-IA baseline,44c2d0e0-0745-3f3e-bffb-bfaea092e3c4
CML-IA baseline,4b4ead48-6399-327e-9739-5321ce805c7b
CML-IA baseline,4c93a806-0b15-3a3b-bb1c-a2efb81dc86e
CML-IA baseline,5008587e-8d72-3402-80df-68e20d636b51
CML-IA baseline,6f3b47a9-7d7b-3a96-b8c3-91139ae57f56
CML-IA baseline,73a47a0e-d1bf-302e-9ccb-5acd886512e3
CML-IA baseline,a30f30eb-d5ff-3051-80f2-2f789db52886
CML-IA baseline,acb12462-2f82-3a72-8ee4-ffb7ff5a47ad
CML-IA baseline,d098dc03-4caa-3c76-84df-bdd28659d40f
CML-IA non-baseline,038e1428-124d-3ebd-a2a4-80796ba7b083
CML-IA non-baseline,0485279f-397e-3f34-8679-d1c42235f890
CML-IA non-baseline,0bea16eb-4460-3577-ba6d-dc0e7ad94f89
CML-IA non-baseline,136de7e5-9df3-3042-9cb7-c29a555dd5b4
CML-IA non-baseline,14115d11-89ed-3c11-9383-8b86785c9a1d
CML-IA non-baseline,28a3f2de-943b-3808-b3b8-2de1e23e58d5
CML-IA non-baseline,315b12c8-458b-360e-9e68-2a1c645d7183
CML-IA non-baseline,31c05950-42f9-341b-9772-aca9ca89590b
CML-IA non-baseline,389c9544-e4be-3c8e-bb52-7a3c9de6344c
CML-IA non-baseline,3de1e36e-3cc3-3eea-9ab5-e2814d2bee70
CML-IA non-baseline,41576d69-2a56-33bd-a568-c678d850cd7d
CML-IA non-baseline,428548e5-7358-3604-9deb-81af8f917f4b
CML-IA non-baseline,45a1d5ed-3a11-367b-8481-fa1454e44a5e
CML-IA non-baseline,470968d9-813c-32af-9675-6b554ecee614
CML-IA non-baseline,49e6b756-2603-3c01-a5b6-c8271bfa713a
CML-IA non-baseline,53f7be3f-ec33-35e3-89ca-13c3fb1096ab
CML-IA non-baseline,6d819d27-b768-3ec0-bd28-009891e0e620
CML-IA non-baseline,756d07c7-d0ea-3a0b-a4f0-e7dfb1c02bf1
CML-IA non-baseline,774e0ae8-f6b2-3d34-9b9f-39bc605bf283
CML-IA non-baseline,7a914e6b-7c5a-316c-aab4-333c674ef723
CML-IA non-baseline,7abb5095-b896-34b2-84fa-e859bcc03a90
