LCIA method,NW set - ID,NW set - name,LCIA category,Nomalisation factor,Weighting factor,Weighting score unit
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,077620f4-b37c-361f-b873-090e6b2dacbd,19193.857965451058,6.0,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,1.76056338028169E11,5.5,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,0c6bbea0-170f-3ff4-9780-45139d0f5883,35335.68904593639,5.0,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,3ad074dd-9970-35bd-9a64-679b151b4d63,529100.5291005292,3.0,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,4ac6c32d-e63a-378e-be67-1f0f7f474d09,340.13605442176873,5.0,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,5607c0e9-417e-3cc4-8529-2d4dfda25e82,151515.15151515152,6.0,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,849a02bc-cdab-3ab4-b9a1-e70c8b4614cb,7.8125E9,5.0,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,8888a9ff-6ab1-3696-9832-a00fbe420ba0,5235602.094240838,11.0,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,99ed6201-5759-315b-b42e-d189feb8f562,2.5575447570332482E7,16.0,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,9dab4ab4-3696-39ad-ab1a-527600c29cb4,0.0033444816053511705,16.0,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,9edd1ed0-2a89-3747-8456-474ac409aa1f,35087.71929824561,11.0,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,c9bd3b2b-a4d3-383a-83e8-8d5ee29cab9d,3.3333333333333336E7,5.5,
BEES+,f7c70b40-7d63-349f-acbe-3e13657e32fb,USA per cap '97-EPA Weighting,f4cb202c-cdad-3b35-bd3e-a7ff88d57f1f,38610.03861003861,5.0,
BEES+,01be825d-77bf-38b1-9f71-55dbf6580213,USA per cap '97-Eq Weighting,077620f4-b37c-361f-b873-090e6b2dacbd,19193.857965451058,7.690000000000001,
BEES+,01be825d-77bf-38b1-9f71-55dbf6580213,USA per cap '97-Eq Weighting,0b65bca5-b93c-3231-8cb7-251dd07dc7e4,1.76056338028169E11,7.690000000000001,
BEES+,01be825d-77bf-38b1-9f71-55dbf6580213,USA per cap '97-Eq Weighting,0c6bbea0-170f-3ff4-9780-45139d0f5883,35335.68904593639,7.690000000000001,
BEES+,01be825d-77bf-38b1-9f71-55dbf6580213,USA per cap '97-Eq Weighting,3ad074dd-9970-35bd-9a64-679b151b4d63,529100.5291005292,7.690000000000001,
BEES+,01be825d-77bf-38b1-9f71-55dbf6580213,USA per cap '97-Eq Weighting,4ac6c32d-e63a-378e-be67-1f0f7f474d09,340.13605442176873,7.690000000000001,
BEES+,01be825d-77bf-38b1-9f71-55dbf6580213,USA per cap '97-Eq Weighting,5607c0e9-417e-3cc4-8529-2d4dfda25e82,151515.15151515152,7.690000000000001,
BEES+,01be825d-77bf-38b1-9f71-55dbf6580213,USA per cap '97-Eq Weighting,849a02bc-cdab-3ab4-b9a1-e70c8b4614cb,7.8125E9,7.690000000000001,
BEES+,01be825d-77bf-38b1-9f71-55dbf6580213,USA per cap '97-Eq Weighting,8888a9ff-6ab1-3696-9832-a00fbe420ba0,5235602.094240838,7.690000000000001,
BEES+,01be825d-77bf-38b1-9f71-55dbf6580213,USA per cap '97-Eq Weighting,99ed6201-5759-315b-b42e-d189feb8f562,2.5575447570332482E7,7.690000000000001,
BEES+,01be825d-77bf-38b1-9f71-55dbf6580213,USA per cap '97-Eq Weighting,9dab4ab4-3696-39ad-ab1a-527600c29cb4,0.0033444816053511705,7.690000000000001,
