ID,Name,Description,Category
d07113f5-5b74-3af3-84ae-9548cbceafd3,AWARE,"Method included in openLCA LCIA method package 2.1.3

Compatible with   
- ecoinvent v3.6, v3.7, v3.8
- Eugeos   
- Agribalyse v3  
- Agrifootprint v5  
- OzLCI    

Method checked against SimaPro 9.1.0.7 (before inclusion of ecoinvent 3.8 flows and characterization factors)",openLCA LCIA methods 2_1_4
3905f4a1-6244-3748-b0b5-04e03262c5a8,BEES+,"Method included in openLCA LCIA method package 2.1.3

Compatible with   
- ecoinvent v3.6, v3.7, v3.8
- Eugeos   
- Agribalyse v3  
- Agrifootprint v5  
- OzLCI    

Method checked against SimaPro 9.1.0.7 (before inclusion of ecoinvent 3.8 flows and characterization factors)",openLCA LCIA methods 2_1_4
f1565e3e-245a-3d5a-9c02-8b792c3cafaa,Berger et al 2014 (Water Scarcity),"Method included in openLCA LCIA method package 2.1.3

Compatible with   
- ecoinvent v3.6, v3.7, v3.8
- Eugeos   
- Agribalyse v3  
- Agrifootprint v5  
- OzLCI    

Method checked against SimaPro 9.1.0.7 (before inclusion of ecoinvent 3.8 flows and characterization factors)",openLCA LCIA methods 2_1_4
3f290cab-a3ac-38af-b940-f31faf74cbe4,Boulay et al 2011 (Human Health),"Method included in openLCA LCIA method package 2.1.3

Compatible with   
- ecoinvent v3.6, v3.7, v3.8
- Eugeos   
- Agribalyse v3  
- Agrifootprint v5  
- OzLCI    

Method checked against SimaPro 9.1.0.7 (before inclusion of ecoinvent 3.8 flows and characterization factors)",openLCA LCIA methods 2_1_4
3c7418c4-b970-39ea-9ecf-b351266877f6,Boulay et al 2011 (Water Scarcity),"Method included in openLCA LCIA method package 2.1.3

Compatible with   
- ecoinvent v3.6, v3.7, v3.8
- Eugeos   
- Agribalyse v3  
- Agrifootprint v5  
- OzLCI    

Method checked against SimaPro 9.1.0.7 (before inclusion of ecoinvent 3.8 flows and characterization factors)",openLCA LCIA methods 2_1_4
effb055a-ad78-39bd-8dc0-341411db4ae7,CML-IA baseline,"Method included in openLCA LCIA method package 2.1.3

Compatible with   
- ecoinvent v3.6, v3.7, v3.8
- Eugeos   
- Agribalyse v3  
- Agrifootprint v5  
- OzLCI    

Method checked against SimaPro 9.1.0.7 (before inclusion of ecoinvent 3.8 flows and characterization factors)",openLCA LCIA methods 2_1_4
46f19b82-ee92-3ff9-b909-d7cab2647b16,CML-IA non-baseline,"Method included in openLCA LCIA method package 2.1.3

Compatible with   
- ecoinvent v3.6, v3.7, v3.8
- Eugeos   
- Agribalyse v3  
- Agrifootprint v5  
- OzLCI    

Method checked against SimaPro 9.1.0.7 (before inclusion of ecoinvent 3.8 flows and characterization factors)",openLCA LCIA methods 2_1_4
f79fcbc9-24b4-4bb7-beba-c839850fe37f,Crustal Scarcity Indicator,"Method included in openLCA LCIA method package 2.1.3

Compatible with   
- ecoinvent v3.6, v3.7, v3.8
- Eugeos   
- Agribalyse v3  
- Agrifootprint v5  
- OzLCI    

Method checked against SimaPro 9.1.0.7 (before inclusion of ecoinvent 3.8 flows and characterization factors)",openLCA LCIA methods 2_1_4
be749018-2f47-3c25-819e-6e0c6fca1cb5,Cumulative Energy Demand,"Method included in openLCA LCIA method package 2.1.3

Compatible with   
- ecoinvent v3.6, v3.7, v3.8
- Eugeos   
- Agribalyse v3  
- Agrifootprint v5  
- OzLCI    

Method checked against SimaPro 9.1.0.7 (before inclusion of ecoinvent 3.8 flows and characterization factors)",openLCA LCIA methods 2_1_4
2f77143f-7956-3d12-9cab-6d9fbfc2f970,Cumulative Energy Demand (LHV),"Method included in openLCA LCIA method package 2.1.3

Compatible with   
- ecoinvent v3.6, v3.7, v3.8
- Eugeos   
- Agribalyse v3  
- Agrifootprint v5  
- OzLCI    

Method checked against SimaPro 9.1.0.7 (before inclusion of ecoinvent 3.8 flows and characterization factors)",openLCA LCIA methods 2_1_4
