810d2042-ca0c-3e04-ae9b-f4b9a8ca211e;810d2042-ca0c-3e04-ae9b-f4b9a8ca211e;1;(Aminooxy)(hydroxy)sulfane dioxide;emissions to soil/industrial;;(Aminooxy)(hydroxy)sulfane dioxide;Elementary flows/Emission to soil/industrial;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
d7f3bc12-5b90-3ead-95c7-d9163cce63a9;38a622c6-f086-4763-a952-7c6b3b1c42ba;1;1,4-Butanediol;emissions to air/high. pop.;;1,4-Butanediol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
14fdd354-d051-3d1c-8f99-3449bf5512a6;09db39be-d9a6-4fc3-8d25-1f80b23e9131;1;1,4-Butanediol;emissions to air/unspecified;;1,4-Butanediol;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
9c145233-133b-3904-aa34-e6aa77d970ec;51441562-7069-40f8-84f9-cca66f72af6d;1;1,4-Butanediol;emissions to water/river;;1,4-Butanediol;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
e4c8df1f-cbd0-3919-b55f-2906e03be6d1;efc4290c-1404-4e01-8b5e-e75c6d90615c;1;1-Butanol;emissions to air/high. pop.;;Butanol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
12205599-72fa-3d63-a1b2-807beb4f3647;cb299863-b63a-45ae-a3fc-b5cc900aaeea;1;1-Butanol;emissions to air/low. pop.;;Butanol;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
35adf5af-f830-33d6-8e7d-63166011579e;b9a9b2ad-5db3-47aa-81de-3a48ae9ad4ec;1;1-Butanol;emissions to air/unspecified;;Butanol;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ed731903-7f7d-3d42-9ab6-03861920113a;3c1079bf-01fb-455d-aa49-026a26ec9445;1;1-Butanol;emissions to water/river;;Butanol;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
7b9d21b0-3d4d-3ab3-9599-ab3a8573c756;00b8c5b8-8f45-445f-839c-2017fe3ad8b8;1;1-Methyl-2-pyrrolidinone;emissions to air/unspecified;;1-Methyl-2-pyrrolidinone;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
78c72faa-a21e-3d95-aa5c-385f79633a5b;541a823c-0aad-4dc4-9123-d4af4647d942;1;1-Pentanol;emissions to air/high. pop.;;1-Pentanol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
2574c29f-b373-32c3-a3d8-d053e369b18b;abeab09e-eb0a-45f4-8a24-5726244d87dd;1;1-Pentanol;emissions to water/river;;1-Pentanol;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
9a67ff57-e1fd-3c38-974e-863543526ecb;8cbaa905-41b0-4327-8403-bf1c8eb25429;1;1-Pentene;emissions to air/high. pop.;;1-Pentene;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
1810007c-d47d-3868-a59d-186b69e50e9f;ccfea48e-0aec-4573-8ed1-fb7c0f1b14ae;1;1-Pentene;emissions to air/low. pop.;;1-Pentene;Elementary flows/Emission to air/low population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
43552dd5-2ce5-356a-b6e1-875832eefd15;651cbfbb-3027-4e20-a5b0-4a67e86e837a;1;1-Pentene;emissions to air/unspecified;;1-Pentene;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
2d93ec07-a2bc-3a3c-a49a-5ec7197e4cd9;4186494b-58c3-4e33-a0fc-48a9e917968d;1;1-Pentene;emissions to water/river;;1-Pentene;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
8e9a8604-d640-322d-bb33-7c638b519547;4a6af581-af93-4d79-9f45-a5c43f463bbb;1;1-Propanol;emissions to air/high. pop.;;Propanol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
566d48b5-b7c1-385c-9e24-44babbb2b6f1;ff5d0fa9-6ca8-4e61-b99b-14981620c0d7;1;1-Propanol;emissions to air/unspecified;;Propanol;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
d2c80b7f-ee81-3ebe-a803-bca37c700707;cada56a9-5b09-4490-84a3-70e5ec1bd735;1;1-Propanol;emissions to water/river;;Propanol;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ad2967b6-e826-371a-a8b7-a0c1bf9a68f8;f681eb3c-854a-4f78-bcfe-76dfbcf9df3c;1;2,4-D;emissions to soil/agricultural;;2,4-D;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ae9a9cc0-8206-31ae-8909-9329de637eee;a0fec60d-3f74-48bf-a2d2-58c30fc13e53;1;2-Aminopropanol;emissions to air/high. pop.;;2-Aminopropanol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
7e10a185-3e3f-3783-8a7f-a983b6ce39f5;4a094654-0a37-4492-87cb-5065366d9bc4;1;2-Aminopropanol;emissions to water/river;;2-Aminopropanol;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
ef8964f1-dca0-3ab2-9f4b-c8c9d7882ce1;79a87f98-0b00-4e7e-86f8-70667307f696;1;2-Butene, 2-methyl-;emissions to air/high. pop.;;2-Methyl-2-butene;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
289cf7b6-e4ac-3279-a7db-99ca6624be61;5011a495-2f22-3cfd-ac96-85b74c2ad089;1;2-Butene, 2-methyl-;emissions to air/unspecified;;2-Butene, 2-methyl-;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
37e3a550-4675-324c-a148-2a9a4d224b6c;9e9d143b-f89b-335a-9f04-835f7354a85e;1;2-Butene, 2-methyl-;emissions to water/river;;2-Butene, 2-methyl-;Elementary flows/Emission to water/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
13266e92-d593-3edc-96b8-c7c96150092d;e2d860e3-1038-4386-a5f1-25ad75d18bbd;1;2-Methyl-1-propanol;emissions to air/high. pop.;;Isobutanol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
4fbcce62-00f6-3e29-bc90-5c765b4d36b1;88be8e1b-1bdc-46e1-9856-187a95b3d872;1;2-Methyl-1-propanol;emissions to air/low. pop., long-term;;Isobutanol;Elementary flows/Emission to air/low population density, long-term;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
19ed351e-6146-3029-8386-4cba6a140dd3;47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d;1;2-Methyl-1-propanol;emissions to air/unspecified;;Isobutanol;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
24efdc78-899b-34cf-a8d8-4462ded756ab;febf61e5-5772-4a92-a047-bfca7965395b;1;2-Methyl-1-propanol;emissions to water/river;;2-Methyl-1-propanol;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
0f1253cd-bc2a-3e68-922e-b3e31a014ef7;e5492922-eaf5-4409-aa49-7f2a35cd0336;1;2-Methyl-4-chlorophenoxyacetic acid;emissions to soil/agricultural;;MCPA;Elementary flows/Emission to soil/agricultural;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
1afcc1ab-4a0a-3a6f-a767-6d17465696da;90d374f1-b739-45b2-a734-d6bdd8c8dc9c;1;2-Nitrobenzoic acid;emissions to air/high. pop.;;2-Nitrobenzoic acid;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
5d72d15c-20c4-33b4-ae3c-8e043d8920d9;cbf58f64-9286-406f-8dcb-ef1d81eec980;1;2-Propanol;emissions to air/high. pop.;;Isopropanol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
0466e885-549d-39b8-8f30-69a1e7ad9c4d;479edec6-763c-49fc-83f8-49780f08cf29;1;2-Propanol;emissions to air/unspecified;;Isopropanol;Elementary flows/Emission to air/unspecified;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
9062eb34-a89d-3cd1-837a-920c8d52d6cc;2ccc4997-63d8-4f5f-8f4c-711080d7bd9b;1;2-Propanol;emissions to water/river;;2-Propanol;Elementary flows/Emission to water/fresh water;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
c0a85796-9bd3-3261-9311-3bd6809a5c38;c6310f81-3859-4c5c-990a-4662ba179693;1;3-Methyl-1-butanol;emissions to air/high. pop.;;3-Methyl-1-butanol;Elementary flows/Emission to air/high population density;;;;93a60a56-a3c8-11da-a746-0800200b9a66;Mass;;kg;20aadc24-a391-41cf-b340-3e4529f44bde;kg
