ID,Name,Description,Conversion factor,Synonyms,Unit group
691ae73c-3fc1-4157-85d0-2659bdc2380a,(cmol*m2)/kg,Centimole times square metre per kilogram,1.0,,Units of mole*area/mass
2e16ca4a-9f65-472f-b4cb-274050aaf328,(cmol*m2*a)/kg,Centimole times square metre times year per kilogram,1.0,,Units of mole*area*time/mass
95e8feec-abc7-4eb0-bf39-2a6d411cba8d,(mm*m2)/a,Millimetre times square metre per year,1.0,,Units of groundwater replenishment (transf.)
14ed0060-9198-48c1-b458-7fa4075c9811,AUD 2000,Australian dollar,0.63,,Units of currency
ac324d87-9961-463a-81a1-099bb0f7d89b,Bq,"Bequerel, 1 event per second",0.001,,Units of radioactivity
18b04307-98b7-4d9e-82ee-f11d1b9f0d28,CAD 2000,Canadian dollar,0.73,,Units of currency
8632c804-eed7-4a57-91e6-1798289c49e3,CHF 2000,Swiss franc,0.64,,Units of currency
d0c791b3-d989-4d90-906c-d01006e45ce0,CHF 2005,Swiss franc,1.12,,Units of currency
fd100082-4cdf-4932-9282-6bb7d7091bd4,CZK 2000,Czech koruna,0.02,,Units of currency
ef6d9358-a156-4c73-b678-320ddee7d2eb,Ci,Curie,3.7E7,,Units of radioactivity
2f3cc326-da25-4086-b06d-3a7ef914aef6,DKK 2000,Danish krone,0.13,,Units of currency
3bd6c6c3-bb61-46f3-b19a-c87ac5502bb7,Dozen(s),Dozen(s) of items,12.0,,Units of items
0866bd06-77b3-41a2-8157-6d96ffb5666b,EEK 2000,Estonian kroon,0.06,,Units of currency
a55b7fe7-fa09-47ef-be62-e07b8e6f4351,EUR 2000,Euro,1.0,,Units of currency
e0c570ff-d195-4646-b15d-b8de687d10a8,EUR 2003,Euro 2003,1.25,,Units of currency
ae63f1fd-3679-443a-ad06-8d03e867351e,GBP 2000,Pound sterling,1.65,,Units of currency
01e58eb9-0aba-4c76-ba0c-03f6f3be1353,GJ,Gigajoule,1000.0,,Units of energy
fb4258af-95b2-4359-af03-9687178df527,HUF 2000,Hungarian forint,0.0038,,Units of currency
28bb8ff6-79d1-4f97-b7c4-7fa3dd05bec8,ISK 2000,Iceland krona,0.01,,Units of currency
cff8f1bf-bda0-4fc1-b14c-537d8861dcce,Imp.min.,Minim,5.91938802E-8,,Units of volume
6dabe201-aaac-4509-92f0-d00c26cb72ab,Item(s),Number of items,1.0,unit;LU;pig place;p,Units of items
2abb86b6-e71b-4de5-a766-a20e80e59b6d,Items*km,Items times kilometre,1.0,,Units of items*length
ce39138f-55f8-47bc-b55a-66027fc836d9,Items*mi,Items times international mile,1.609344,,Units of items*length
9bf0166c-fa76-47d0-95af-054ea9125f2c,Items*nmi,Items times nautical mile,1.852,,Units of items*length
469d61f1-3bc4-4841-8adf-873825c1bc11,J,Joule,1.0E-6,,Units of energy
6c277db7-2784-4296-83bf-15c04a9d59b2,JPY 2000,Japanese yen,0.01,Yen2000,Units of currency
d246fd48-c363-4f0e-ab01-641325dd89eb,KRW 2000,South Korean won,9.5E-4,,Units of currency
dce13106-087c-4fea-bfaa-def214e3cecb,LTL 2000,Lithuanian litas,0.27,,Units of currency
007f0ce1-4a0b-4bb2-8f7c-1b2a0e6ef6b2,LVL 2000,Latvian lats,1.78,,Units of currency
b9948675-d7f6-4f0b-afa0-aa320718bb98,M$ 2000,Mega US dollar 2000,1100000.0,,Units of currency
52765a6c-3896-43c2-b2f4-c679acf13efe,MJ,Megajoule,1.0,,Units of energy
94dcd768-ea3e-47da-ba1b-11fea4b5f4cc,MJ/kg*d,Megajoule per kilogram times day,1.0,,Units of energy/mass*time
92e3bd49-8ed5-4885-9db6-fc88c7afcfcb,MWh,Megawatt times hour,3600.0,,Units of energy
d022bf34-1162-4579-90ab-dcca9620ce54,Mg,Megagram = 1 metric tonne,1000.0,,Units of mass
9dd23b40-4394-4f9a-9572-5f2ee9643864,Mt,Megatonne,1.0E9,Mtn,Units of mass
97ee3997-137d-4d96-80bf-c4f106c743c4,NOK 2000,Norwegian krone,0.12,,Units of currency
4669b8ce-894d-405a-95d1-3211accaa739,Nm3,Normal cubic metres,1.0,Nm³,Units of volume
ff1a332f-967c-4084-8b01-8d3ca81b3121,PJ,PetaJoules,1.0E9,,Units of energy
a45722ee-fc30-4bb1-aa95-5c8fb56c6bfb,Rutherford,Rutherford,1000.0,,Units of radioactivity
594fb96f-0d06-4053-9263-826fcd4d0046,SEK 2000,Swedish krona,0.12,,Units of currency
787f2ac9-7bcd-4a91-9fab-55bfe414138f,TCE,Tonne coal equivalent,29307.6,,Units of energy
